297.385,1776988622.9754684,m1_k1_n1
297.385,1776988623.0255826,m1_k1_n1
293.897,1776988623.0756702,m1_k1_n1
293.897,1776988623.1257517,m1_k1_n1
293.897,1776988623.277081,m1_k1_n2
293.897,1776988623.3271902,m1_k1_n2
293.897,1776988623.3772871,m1_k1_n2
293.897,1776988623.5279207,m1_k1_n3
290.794,1776988623.5780118,m1_k1_n3
290.794,1776988623.6280751,m1_k1_n3
290.794,1776988623.7788107,m1_k1_n4
290.794,1776988623.828906,m1_k1_n4
290.794,1776988623.8789754,m1_k1_n4
290.794,1776988624.0294585,m1_k1_n5
296.324,1776988624.079557,m1_k1_n5
296.324,1776988624.1296449,m1_k1_n5
296.324,1776988624.2801259,m1_k1_n6
296.324,1776988624.3302088,m1_k1_n6
296.324,1776988624.380282,m1_k1_n6
296.324,1776988624.53086,m1_k1_n7
298.68,1776988624.5809388,m1_k1_n7
298.68,1776988624.6310065,m1_k1_n7
298.68,1776988624.7816875,m1_k1_n8
298.68,1776988624.831795,m1_k1_n8
298.68,1776988624.8818798,m1_k1_n8
298.68,1776988625.0327013,m1_k1_n9
296.174,1776988625.0828052,m1_k1_n9
296.174,1776988625.1328962,m1_k1_n9
296.174,1776988625.28368,m1_k1_n10
296.174,1776988625.3337927,m1_k1_n10
296.174,1776988625.3838792,m1_k1_n10
296.174,1776988625.5345435,m1_k1_n11
299.962,1776988625.58464,m1_k1_n11
299.962,1776988625.6347218,m1_k1_n11
299.962,1776988625.7854607,m1_k1_n12
299.962,1776988625.8355896,m1_k1_n12
299.962,1776988625.8856683,m1_k1_n12
299.962,1776988626.0363114,m1_k1_n13
296.893,1776988626.0874138,m1_k1_n13
296.893,1776988626.1375027,m1_k1_n13
296.893,1776988626.28854,m1_k1_n14
296.893,1776988626.3386252,m1_k1_n14
296.893,1776988626.3887086,m1_k1_n14
296.893,1776988626.5392997,m1_k1_n15
298.481,1776988626.589454,m1_k1_n15
298.481,1776988626.6395369,m1_k1_n15
298.481,1776988626.7900996,m1_k1_n16
298.481,1776988626.8493457,m1_k1_n16
298.481,1776988626.9998527,m1_k1_n17
298.481,1776988627.0499344,m1_k1_n17
303.145,1776988627.1000035,m1_k1_n17
303.145,1776988627.25045,m1_k1_n18
303.145,1776988627.300536,m1_k1_n18
303.145,1776988627.3506188,m1_k1_n18
303.145,1776988627.501056,m1_k1_n19
303.145,1776988627.55115,m1_k1_n19
302.046,1776988627.601245,m1_k1_n19
302.046,1776988627.75177,m1_k1_n20
302.046,1776988627.80188,m1_k1_n20
302.046,1776988627.85198,m1_k1_n20
302.046,1776988628.0024972,m1_k1_n21
302.046,1776988628.0525959,m1_k1_n21
300.344,1776988628.10268,m1_k1_n21
300.344,1776988628.253134,m1_k1_n22
300.344,1776988628.3032203,m1_k1_n22
300.344,1776988628.353294,m1_k1_n22
300.344,1776988628.5050483,m1_k1_n23
300.344,1776988628.55514,m1_k1_n23
300.436,1776988628.605218,m1_k1_n23
300.436,1776988628.75624,m1_k1_n24
300.436,1776988628.8063395,m1_k1_n24
300.436,1776988628.8564272,m1_k1_n24
300.436,1776988629.0070822,m1_k1_n25
300.436,1776988629.0571952,m1_k1_n25
296.999,1776988629.107277,m1_k1_n25
296.999,1776988629.2578313,m1_k1_n26
296.999,1776988629.3079212,m1_k1_n26
296.999,1776988629.3580046,m1_k1_n26
296.999,1776988629.5084653,m1_k1_n27
296.999,1776988629.5585425,m1_k1_n27
298.638,1776988629.6086113,m1_k1_n27
298.638,1776988629.7602665,m1_k1_n28
298.638,1776988629.8103614,m1_k1_n28
298.638,1776988629.8604457,m1_k1_n28
298.638,1776988630.0111082,m1_k1_n29
298.638,1776988630.0612128,m1_k1_n29
301.177,1776988630.1113029,m1_k1_n29
301.177,1776988630.2635546,m1_k1_n30
301.177,1776988630.313655,m1_k1_n30
301.177,1776988630.36374,m1_k1_n30
301.177,1776988630.5144475,m1_k1_n31
301.177,1776988630.5645304,m1_k1_n31
292.309,1776988630.6146045,m1_k1_n31
292.309,1776988630.7652814,m1_k1_n32
292.309,1776988630.8153718,m1_k1_n32
292.309,1776988630.8654454,m1_k1_n32
292.309,1776988631.016095,m1_k1_n33
292.309,1776988631.0661893,m1_k1_n33
296.917,1776988631.1162677,m1_k1_n33
296.917,1776988631.2670102,m1_k1_n34
296.917,1776988631.317106,m1_k1_n34
296.917,1776988631.3671818,m1_k1_n34
296.917,1776988631.5179162,m1_k1_n35
296.917,1776988631.5680027,m1_k1_n35
296.206,1776988631.618084,m1_k1_n35
296.206,1776988631.7687345,m1_k1_n36
296.206,1776988631.8188257,m1_k1_n36
296.206,1776988631.869001,m1_k1_n36
296.206,1776988632.020983,m1_k1_n37
296.206,1776988632.0711327,m1_k1_n37
302.895,1776988632.1212814,m1_k1_n37
302.895,1776988632.272084,m1_k1_n38
302.895,1776988632.322196,m1_k1_n38
302.895,1776988632.3722975,m1_k1_n38
302.895,1776988632.5229003,m1_k1_n39
302.895,1776988632.5730126,m1_k1_n39
301.211,1776988632.6231027,m1_k1_n39
301.211,1776988632.7737505,m1_k1_n40
301.211,1776988632.8238769,m1_k1_n40
301.211,1776988632.8739686,m1_k1_n40
301.211,1776988633.0244248,m1_k1_n41
301.211,1776988633.0745108,m1_k1_n41
297.867,1776988633.1245837,m1_k1_n41
297.867,1776988633.2753882,m1_k1_n42
297.867,1776988633.3254676,m1_k1_n42
297.867,1776988633.3755407,m1_k1_n42
297.867,1776988633.5260339,m1_k1_n43
297.867,1776988633.5761213,m1_k1_n43
