gpu,dtype,m,k,n,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,half,1,1,9,9,3996,1965,176.53533333333334,1588.818
B200-SXM-192GB,half,1,1,26,13,3996,1965,190.97433333333333,2482.6663333333336
B200-SXM-192GB,half,1,1,43,11,3996,1965,192.492,2117.4120000000003
B200-SXM-192GB,half,1,1,60,8,3996,1965,192.47866666666667,1539.8293333333334
B200-SXM-192GB,half,1,1,77,8,3996,1965,192.477,1539.816
B200-SXM-192GB,half,1,1,94,10,3996,1965,192.411,1924.11
B200-SXM-192GB,half,1,1,111,9,3996,1965,192.368,1731.312
B200-SXM-192GB,half,1,1,128,9,3996,1965,192.40466666666663,1731.6419999999998
B200-SXM-192GB,half,1,1,2304,14,3996,1965,192.395,2693.53
B200-SXM-192GB,half,1,1,4480,9,3996,1965,192.397,1731.573
B200-SXM-192GB,half,1,1,6656,9,3996,1965,192.368,1731.312
B200-SXM-192GB,half,1,1,8832,10,3996,1965,192.417,1924.17
B200-SXM-192GB,half,1,1,11008,9,3996,1965,192.454,1732.086
B200-SXM-192GB,half,1,1,13184,8,3996,1965,192.454,1539.632
B200-SXM-192GB,half,1,1,15360,9,3996,1965,192.515,1732.6349999999998
B200-SXM-192GB,half,1,1,17536,10,3996,1965,192.57366666666667,1925.736666666667
B200-SXM-192GB,half,1,1,19712,10,3996,1965,192.57100000000003,1925.7100000000005
B200-SXM-192GB,half,1,1,21888,8,3996,1965,192.582,1540.656
B200-SXM-192GB,half,1,1,24064,9,3996,1965,192.581,1733.2290000000005
B200-SXM-192GB,half,1,1,26240,8,3996,1965,192.545,1540.36
B200-SXM-192GB,half,1,1,28416,9,3996,1965,192.5463333333333,1732.917
B200-SXM-192GB,half,1,1,30592,10,3996,1965,192.5615,1925.615
B200-SXM-192GB,half,1,1,32768,8,3996,1965,192.527,1540.216
B200-SXM-192GB,half,1,1,34944,8,3996,1965,192.537,1540.296
B200-SXM-192GB,half,1,1,37120,8,3996,1965,192.557,1540.456
B200-SXM-192GB,half,1,1,39296,9,3996,1965,192.59,1733.31
B200-SXM-192GB,half,1,1,41472,10,3996,1965,192.639,1926.39
B200-SXM-192GB,half,1,1,43648,13,3996,1965,192.6415,2504.3395
B200-SXM-192GB,half,1,1,45824,11,3996,1965,192.66,2119.26
B200-SXM-192GB,half,1,1,48000,10,3996,1965,192.629,1926.29
B200-SXM-192GB,half,1,1,50176,8,3996,1965,192.5915,1540.732
B200-SXM-192GB,half,1,1,52352,8,3996,1965,192.5413333333333,1540.3306666666667
B200-SXM-192GB,half,1,1,54528,8,3996,1965,192.58133333333333,1540.650666666667
B200-SXM-192GB,half,1,1,56704,8,3996,1965,192.6215,1540.972
B200-SXM-192GB,half,1,1,58880,8,3996,1965,192.619,1540.952
B200-SXM-192GB,half,1,1,61056,8,3996,1965,192.6695,1541.356
B200-SXM-192GB,half,1,1,63232,11,3996,1965,192.696,2119.656
B200-SXM-192GB,half,1,1,65408,15,3996,1965,192.64266666666663,2889.64
B200-SXM-192GB,half,1,2,9,8,3996,1965,192.629,1541.032
B200-SXM-192GB,half,1,2,26,8,3996,1965,192.68266666666668,1541.4613333333334
B200-SXM-192GB,half,1,2,43,10,3996,1965,192.694,1926.94
B200-SXM-192GB,half,1,2,60,11,3996,1965,192.67666666666665,2119.443333333333
B200-SXM-192GB,half,1,2,77,8,3996,1965,192.6355,1541.084
B200-SXM-192GB,half,1,2,94,8,3996,1965,192.5985,1540.788
B200-SXM-192GB,half,1,2,111,8,3996,1965,192.5305,1540.244
B200-SXM-192GB,half,1,2,128,8,3996,1965,192.509,1540.072
B200-SXM-192GB,half,1,2,2304,8,3996,1965,192.4985,1539.9879999999998
B200-SXM-192GB,half,1,2,4480,9,3996,1965,192.52,1732.68
B200-SXM-192GB,half,1,2,6656,8,3996,1965,192.567,1540.536
B200-SXM-192GB,half,1,2,8832,8,3996,1965,192.567,1540.536
B200-SXM-192GB,half,1,2,11008,8,3996,1965,192.589,1540.712
B200-SXM-192GB,half,1,2,13184,10,3996,1965,192.57333333333332,1925.7333333333336
B200-SXM-192GB,half,1,2,15360,8,3996,1965,192.6045,1540.836
B200-SXM-192GB,half,1,2,17536,8,3996,1965,192.582,1540.656
B200-SXM-192GB,half,1,2,19712,8,3996,1965,192.57,1540.56
B200-SXM-192GB,half,1,2,21888,9,3996,1965,192.6303333333333,1733.6729999999998
B200-SXM-192GB,half,1,2,24064,13,3996,1965,192.6565,2504.5345
B200-SXM-192GB,half,1,2,26240,8,3996,1965,192.675,1541.4
B200-SXM-192GB,half,1,2,28416,13,3996,1965,192.699,2505.087
B200-SXM-192GB,half,1,2,30592,12,3996,1965,192.697,2312.364
B200-SXM-192GB,half,1,2,32768,9,3996,1965,192.651,1733.859
B200-SXM-192GB,half,1,2,34944,8,3996,1965,192.6195,1540.956
B200-SXM-192GB,half,1,2,37120,7,3996,1965,192.6045,1348.2315
B200-SXM-192GB,half,1,2,39296,11,3996,1965,192.6123333333333,2118.735666666667
B200-SXM-192GB,half,1,2,41472,7,3996,1965,192.594,1348.158
B200-SXM-192GB,half,1,2,43648,8,3996,1965,192.601,1540.808
B200-SXM-192GB,half,1,2,45824,12,3996,1965,192.692,2312.304
B200-SXM-192GB,half,1,2,48000,8,3996,1965,192.701,1541.608
B200-SXM-192GB,half,1,2,50176,8,3996,1965,192.7485,1541.988
B200-SXM-192GB,half,1,2,52352,13,3996,1965,192.771,2506.023
B200-SXM-192GB,half,1,2,54528,8,3996,1965,192.7525,1542.02
B200-SXM-192GB,half,1,2,56704,8,3996,1965,192.737,1541.896
B200-SXM-192GB,half,1,2,58880,10,3996,1965,192.694,1926.94
B200-SXM-192GB,half,1,2,61056,9,3996,1965,192.6645,1733.9805
B200-SXM-192GB,half,1,2,63232,10,3996,1965,192.7405,1927.405
B200-SXM-192GB,half,1,2,65408,8,3996,1965,192.74,1541.92
B200-SXM-192GB,half,1,4,9,10,3996,1965,192.766,1927.6600000000003
B200-SXM-192GB,half,1,4,26,8,3996,1965,192.815,1542.52
B200-SXM-192GB,half,1,4,43,8,3996,1965,192.889,1543.112
B200-SXM-192GB,half,1,4,60,8,3996,1965,192.864,1542.912
B200-SXM-192GB,half,1,4,77,8,3996,1965,192.879,1543.032
B200-SXM-192GB,half,1,4,94,14,3996,1965,192.852,2699.928
B200-SXM-192GB,half,1,4,111,10,3996,1965,192.7845,1927.845
B200-SXM-192GB,half,1,4,128,9,3996,1965,192.722,1734.498
B200-SXM-192GB,half,1,4,2304,10,3996,1965,192.7285,1927.285
B200-SXM-192GB,half,1,4,4480,8,3996,1965,192.721,1541.768
B200-SXM-192GB,half,1,4,6656,7,3996,1965,192.715,1349.005
