gpu,dtype,m,k,n,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,half,1,1,8,5,3996,1965,207.5385,1037.6925
B200-SXM-192GB,half,1,1,25,6,3996,1965,219.083,1314.498
B200-SXM-192GB,half,1,1,42,6,3996,1965,231.65,1389.9
B200-SXM-192GB,half,1,1,59,6,3996,1965,238.111,1428.666
B200-SXM-192GB,half,1,1,76,6,3996,1965,238.065,1428.39
B200-SXM-192GB,half,1,1,93,5,3996,1965,238.087,1190.435
B200-SXM-192GB,half,1,1,110,7,3996,1965,238.09,1666.63
B200-SXM-192GB,half,1,1,127,5,3996,1965,238.106,1190.53
B200-SXM-192GB,half,1,1,2176,5,3996,1965,238.137,1190.685
B200-SXM-192GB,half,1,1,4352,7,3996,1965,238.198,1667.386
B200-SXM-192GB,half,1,1,6528,6,3996,1965,238.19933333333333,1429.196
B200-SXM-192GB,half,1,1,8704,6,3996,1965,238.2055,1429.233
B200-SXM-192GB,half,1,1,10880,8,3996,1965,238.22666666666663,1905.8133333333333
B200-SXM-192GB,half,1,1,13056,11,3996,1965,238.244,2620.684
B200-SXM-192GB,half,1,1,15232,11,3996,1965,238.256,2620.816
B200-SXM-192GB,half,1,1,17408,11,3996,1965,238.28,2621.08
B200-SXM-192GB,half,1,1,19584,10,3996,1965,238.29366666666667,2382.9366666666665
B200-SXM-192GB,half,1,1,21760,11,3996,1965,238.306,2621.366
B200-SXM-192GB,half,1,1,23936,9,3996,1965,238.332,2144.988
B200-SXM-192GB,half,1,1,26112,10,3996,1965,238.29100000000005,2382.9100000000003
B200-SXM-192GB,half,1,1,28288,11,3996,1965,238.307,2621.3770000000004
B200-SXM-192GB,half,1,1,30464,11,3996,1965,238.34533333333331,2621.7986666666666
B200-SXM-192GB,half,1,1,32640,11,3996,1965,238.33400000000003,2621.6740000000004
B200-SXM-192GB,half,1,1,34816,12,3996,1965,238.387,2860.644
B200-SXM-192GB,half,1,1,36992,11,3996,1965,238.4103333333333,2622.5136666666667
B200-SXM-192GB,half,1,1,39168,11,3996,1965,238.381,2622.191
B200-SXM-192GB,half,1,1,41344,10,3996,1965,238.37633333333332,2383.7633333333333
B200-SXM-192GB,half,1,1,43520,11,3996,1965,238.38433333333333,2622.2276666666667
B200-SXM-192GB,half,1,1,45696,11,3996,1965,238.3203333333333,2621.523666666667
B200-SXM-192GB,half,1,1,47872,10,3996,1965,238.35933333333327,2383.593333333333
B200-SXM-192GB,half,1,1,50048,11,3996,1965,238.367,2622.037
B200-SXM-192GB,half,1,1,52224,10,3996,1965,238.37233333333333,2383.7233333333334
B200-SXM-192GB,half,1,1,54400,10,3996,1965,238.393,2383.93
B200-SXM-192GB,half,1,1,56576,11,3996,1965,238.393,2622.323
B200-SXM-192GB,half,1,1,58752,10,3996,1965,238.43233333333333,2384.3233333333333
B200-SXM-192GB,half,1,1,60928,10,3996,1965,238.44433333333333,2384.443333333333
B200-SXM-192GB,half,1,1,63104,10,3996,1965,238.4835,2384.835
B200-SXM-192GB,half,1,1,65280,10,3996,1965,238.46166666666667,2384.616666666667
B200-SXM-192GB,half,1,2,8,7,3996,1965,238.437,1669.0590000000002
B200-SXM-192GB,half,1,2,25,8,3996,1965,238.4233333333333,1907.3866666666663
B200-SXM-192GB,half,1,2,42,10,3996,1965,238.3936666666667,2383.936666666667
B200-SXM-192GB,half,1,2,59,11,3996,1965,238.355,2621.905
B200-SXM-192GB,half,1,2,76,12,3996,1965,238.32900000000004,2859.9480000000003
B200-SXM-192GB,half,1,2,93,8,3996,1965,238.32266666666663,1906.5813333333333
B200-SXM-192GB,half,1,2,110,11,3996,1965,238.26766666666663,2620.9443333333334
B200-SXM-192GB,half,1,2,127,10,3996,1965,238.26833333333332,2382.6833333333334
B200-SXM-192GB,half,1,2,2176,10,3996,1965,238.29066666666668,2382.9066666666668
B200-SXM-192GB,half,1,2,4352,11,3996,1965,238.33933333333331,2621.732666666667
B200-SXM-192GB,half,1,2,6528,11,3996,1965,238.411,2622.521
B200-SXM-192GB,half,1,2,8704,11,3996,1965,238.421,2622.6310000000003
B200-SXM-192GB,half,1,2,10880,7,3996,1965,238.42066666666665,1668.9446666666663
B200-SXM-192GB,half,1,2,13056,7,3996,1965,238.3913333333333,1668.7393333333334
B200-SXM-192GB,half,1,2,15232,5,3996,1965,238.374,1191.87
B200-SXM-192GB,half,1,2,17408,5,3996,1965,238.35833333333332,1191.7916666666667
B200-SXM-192GB,half,1,2,19584,7,3996,1965,238.35950000000005,1668.5165000000002
B200-SXM-192GB,half,1,2,21760,6,3996,1965,238.339,1430.034
B200-SXM-192GB,half,1,2,23936,11,3996,1965,238.329,2621.619
B200-SXM-192GB,half,1,2,26112,8,3996,1965,238.32833333333332,1906.6266666666668
B200-SXM-192GB,half,1,2,28288,9,3996,1965,238.347,2145.123
B200-SXM-192GB,half,1,2,30464,12,3996,1965,238.372,2860.464
B200-SXM-192GB,half,1,2,32640,8,3996,1965,238.386,1907.088
B200-SXM-192GB,half,1,2,34816,7,3996,1965,238.3925,1668.7475
B200-SXM-192GB,half,1,2,36992,11,3996,1965,238.386,2622.246
B200-SXM-192GB,half,1,2,39168,11,3996,1965,238.386,2622.246
B200-SXM-192GB,half,1,2,41344,11,3996,1965,238.38166666666663,2622.1983333333333
B200-SXM-192GB,half,1,2,43520,11,3996,1965,238.38166666666663,2622.1983333333333
B200-SXM-192GB,half,1,2,45696,9,3996,1965,238.398,2145.582
B200-SXM-192GB,half,1,2,47872,5,3996,1965,238.38933333333333,1191.9466666666667
B200-SXM-192GB,half,1,2,50048,9,3996,1965,238.3825,2145.4425
B200-SXM-192GB,half,1,2,52224,6,3996,1965,238.352,1430.112
B200-SXM-192GB,half,1,2,54400,7,3996,1965,238.353,1668.471
B200-SXM-192GB,half,1,2,56576,5,3996,1965,238.36133333333336,1191.8066666666668
B200-SXM-192GB,half,1,2,58752,5,3996,1965,238.345,1191.725
B200-SXM-192GB,half,1,2,60928,9,3996,1965,238.375,2145.375
B200-SXM-192GB,half,1,2,63104,6,3996,1965,238.4223333333333,1430.534
B200-SXM-192GB,half,1,2,65280,5,3996,1965,238.4385,1192.1925
B200-SXM-192GB,half,1,4,8,6,3996,1965,238.46400000000003,1430.784
B200-SXM-192GB,half,1,4,25,6,3996,1965,238.461,1430.766
B200-SXM-192GB,half,1,4,42,6,3996,1965,238.4285,1430.571
B200-SXM-192GB,half,1,4,59,6,3996,1965,238.391,1430.346
B200-SXM-192GB,half,1,4,76,11,3996,1965,238.35,2621.85
B200-SXM-192GB,half,1,4,93,9,3996,1965,238.342,2145.078
B200-SXM-192GB,half,1,4,110,6,3996,1965,238.35,1430.1
B200-SXM-192GB,half,1,4,127,8,3996,1965,238.3525,1906.82
B200-SXM-192GB,half,1,4,2176,6,3996,1965,238.349,1430.094
B200-SXM-192GB,half,1,4,4352,7,3996,1965,238.3525,1668.4675
B200-SXM-192GB,half,1,4,6528,5,3996,1965,238.3565,1191.7824999999998
B200-SXM-192GB,half,1,4,8704,5,3996,1965,238.355,1191.775
B200-SXM-192GB,half,1,4,10880,8,3996,1965,238.355,1906.84
B200-SXM-192GB,half,1,4,13056,6,3996,1965,238.3745,1430.247
B200-SXM-192GB,half,1,4,15232,6,3996,1965,238.38433333333333,1430.306
B200-SXM-192GB,half,1,4,17408,6,3996,1965,238.44866666666667,1430.692
B200-SXM-192GB,half,1,4,19584,6,3996,1965,238.4405,1430.643
B200-SXM-192GB,half,1,4,21760,5,3996,1965,238.4495,1192.2475
B200-SXM-192GB,half,1,4,23936,5,3996,1965,238.4393333333333,1192.1966666666667
B200-SXM-192GB,half,1,4,26112,7,3996,1965,238.432,1669.024
B200-SXM-192GB,half,1,4,28288,5,3996,1965,238.399,1191.995
B200-SXM-192GB,half,1,4,30464,5,3996,1965,238.4065,1192.0325
B200-SXM-192GB,half,1,4,32640,5,3996,1965,238.4213333333333,1192.1066666666666
B200-SXM-192GB,half,1,4,34816,5,3996,1965,238.452,1192.26
B200-SXM-192GB,half,1,4,36992,6,3996,1965,238.4605,1430.763
B200-SXM-192GB,half,1,4,39168,5,3996,1965,238.4655,1192.3275
B200-SXM-192GB,half,1,4,41344,6,3996,1965,238.5075,1431.045
B200-SXM-192GB,half,1,4,43520,5,3996,1965,238.5186666666667,1192.5933333333337
B200-SXM-192GB,half,1,4,45696,7,3996,1965,238.50933333333333,1669.5653333333332
B200-SXM-192GB,half,1,4,47872,6,3996,1965,238.5,1431.0
B200-SXM-192GB,half,1,4,50048,5,3996,1965,238.47166666666664,1192.3583333333331
B200-SXM-192GB,half,1,4,52224,6,3996,1965,238.4305,1430.583
B200-SXM-192GB,half,1,4,54400,5,3996,1965,238.425,1192.125
