gpu,dtype,m,k,n,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,half,1,1,10,9,3996,1965,175.95871428571428,1583.6284285714285
B200-SXM-192GB,half,1,1,27,10,3996,1965,193.469,1934.69
B200-SXM-192GB,half,1,1,44,10,3996,1965,200.972,2009.72
B200-SXM-192GB,half,1,1,61,8,3996,1965,201.016,1608.128
B200-SXM-192GB,half,1,1,78,9,3996,1965,201.0,1809.0
B200-SXM-192GB,half,1,1,95,10,3996,1965,201.05566666666667,2010.5566666666664
B200-SXM-192GB,half,1,1,112,11,3996,1965,201.13466666666667,2212.4813333333336
B200-SXM-192GB,half,1,1,256,9,3996,1965,201.183,1810.647
B200-SXM-192GB,half,1,1,2432,10,3996,1965,201.18566666666663,2011.8566666666663
B200-SXM-192GB,half,1,1,4608,9,3996,1965,201.18266666666668,1810.644
B200-SXM-192GB,half,1,1,6784,8,3996,1965,201.165,1609.32
B200-SXM-192GB,half,1,1,8960,12,3996,1965,201.189,2414.268
B200-SXM-192GB,half,1,1,11136,8,3996,1965,201.2155,1609.7240000000002
B200-SXM-192GB,half,1,1,13312,10,3996,1965,201.327,2013.27
B200-SXM-192GB,half,1,1,15488,8,3996,1965,201.3343333333333,1610.6746666666666
B200-SXM-192GB,half,1,1,17664,9,3996,1965,201.3725,1812.3525
B200-SXM-192GB,half,1,1,19840,8,3996,1965,201.368,1610.9440000000002
B200-SXM-192GB,half,1,1,22016,10,3996,1965,201.344,2013.44
B200-SXM-192GB,half,1,1,24192,15,3996,1965,201.387,3020.805
B200-SXM-192GB,half,1,1,26368,10,3996,1965,201.3975,2013.975
B200-SXM-192GB,half,1,1,28544,12,3996,1965,201.42533333333336,2417.1040000000003
B200-SXM-192GB,half,1,1,30720,8,3996,1965,201.458,1611.664
B200-SXM-192GB,half,1,1,32896,8,3996,1965,201.479,1611.832
B200-SXM-192GB,half,1,1,35072,8,3996,1965,201.454,1611.6319999999998
B200-SXM-192GB,half,1,1,37248,10,3996,1965,201.487,2014.8700000000003
B200-SXM-192GB,half,1,1,39424,11,3996,1965,201.514,2216.654
B200-SXM-192GB,half,1,1,41600,9,3996,1965,201.4865,1813.3785
B200-SXM-192GB,half,1,1,43776,10,3996,1965,201.487,2014.87
B200-SXM-192GB,half,1,1,45952,9,3996,1965,201.5403333333333,1813.863
B200-SXM-192GB,half,1,1,48128,8,3996,1965,201.54,1612.32
B200-SXM-192GB,half,1,1,50304,11,3996,1965,201.559,2217.149
B200-SXM-192GB,half,1,1,52480,13,3996,1965,201.61300000000003,2620.9690000000005
B200-SXM-192GB,half,1,1,54656,8,3996,1965,201.64533333333333,1613.1626666666668
B200-SXM-192GB,half,1,1,56832,12,3996,1965,201.66933333333336,2420.032
B200-SXM-192GB,half,1,1,59008,9,3996,1965,201.664,1814.976
B200-SXM-192GB,half,1,1,61184,9,3996,1965,201.692,1815.228
B200-SXM-192GB,half,1,1,63360,7,3996,1965,201.698,1411.886
B200-SXM-192GB,half,1,1,65536,11,3996,1965,201.702,2218.722
B200-SXM-192GB,half,1,2,10,8,3996,1965,201.73333333333332,1613.8666666666668
B200-SXM-192GB,half,1,2,27,12,3996,1965,201.7223333333333,2420.668
B200-SXM-192GB,half,1,2,44,10,3996,1965,201.711,2017.11
B200-SXM-192GB,half,1,2,61,7,3996,1965,201.698,1411.886
B200-SXM-192GB,half,1,2,78,9,3996,1965,201.717,1815.453
B200-SXM-192GB,half,1,2,95,8,3996,1965,201.726,1613.808
B200-SXM-192GB,half,1,2,112,10,3996,1965,201.708,2017.08
B200-SXM-192GB,half,1,2,256,16,3996,1965,201.71066666666664,3227.3706666666662
B200-SXM-192GB,half,1,2,2432,8,3996,1965,201.70566666666664,1613.6453333333332
B200-SXM-192GB,half,1,2,4608,8,3996,1965,201.686,1613.488
B200-SXM-192GB,half,1,2,6784,9,3996,1965,201.67833333333337,1815.105
B200-SXM-192GB,half,1,2,8960,8,3996,1965,201.699,1613.592
B200-SXM-192GB,half,1,2,11136,8,3996,1965,201.72866666666667,1613.8293333333334
B200-SXM-192GB,half,1,2,13312,8,3996,1965,201.7355,1613.884
B200-SXM-192GB,half,1,2,15488,11,3996,1965,201.755,2219.305
B200-SXM-192GB,half,1,2,17664,8,3996,1965,201.827,1614.616
B200-SXM-192GB,half,1,2,19840,8,3996,1965,201.877,1615.016
B200-SXM-192GB,half,1,2,22016,8,3996,1965,201.893,1615.144
B200-SXM-192GB,half,1,2,24192,9,3996,1965,201.954,1817.586
B200-SXM-192GB,half,1,2,26368,8,3996,1965,202.016,1616.128
B200-SXM-192GB,half,1,2,28544,11,3996,1965,202.011,2222.121
B200-SXM-192GB,half,1,2,30720,8,3996,1965,202.012,1616.096
B200-SXM-192GB,half,1,2,32896,11,3996,1965,202.00266666666667,2222.0293333333334
B200-SXM-192GB,half,1,2,35072,8,3996,1965,201.9933333333333,1615.9466666666667
B200-SXM-192GB,half,1,2,37248,9,3996,1965,201.9975,1817.9775
B200-SXM-192GB,half,1,2,39424,8,3996,1965,202.022,1616.1760000000002
B200-SXM-192GB,half,1,2,41600,11,3996,1965,202.023,2222.253
B200-SXM-192GB,half,1,2,43776,8,3996,1965,202.04433333333336,1616.3546666666668
B200-SXM-192GB,half,1,2,45952,8,3996,1965,202.06,1616.48
B200-SXM-192GB,half,1,2,48128,8,3996,1965,202.0595,1616.476
B200-SXM-192GB,half,1,2,50304,8,3996,1965,202.073,1616.584
B200-SXM-192GB,half,1,2,52480,8,3996,1965,202.06,1616.48
B200-SXM-192GB,half,1,2,54656,8,3996,1965,202.074,1616.592
B200-SXM-192GB,half,1,2,56832,12,3996,1965,202.0875,2425.05
B200-SXM-192GB,half,1,2,59008,20,3996,1965,202.08266666666668,4041.6533333333336
B200-SXM-192GB,half,1,2,61184,9,3996,1965,202.036,1818.324
B200-SXM-192GB,half,1,2,63360,8,3996,1965,202.099,1616.792
B200-SXM-192GB,half,1,2,65536,10,3996,1965,202.092,2020.92
B200-SXM-192GB,half,1,4,10,12,3996,1965,202.13,2425.56
B200-SXM-192GB,half,1,4,27,10,3996,1965,202.12733333333333,2021.2733333333333
