gpu,dtype,m,k,n,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,half,1,1,6,5,3996,1965,212.53525,1062.67625
B200-SXM-192GB,half,1,1,23,5,3996,1965,230.831,1154.1550000000002
B200-SXM-192GB,half,1,1,40,5,3996,1965,241.963,1209.815
B200-SXM-192GB,half,1,1,57,4,3996,1965,253.647,1014.588
B200-SXM-192GB,half,1,1,74,5,3996,1965,253.7,1268.5
B200-SXM-192GB,half,1,1,91,5,3996,1965,253.74,1268.7
B200-SXM-192GB,half,1,1,108,5,3996,1965,253.764,1268.8200000000002
B200-SXM-192GB,half,1,1,125,5,3996,1965,253.789,1268.945
B200-SXM-192GB,half,1,1,1920,5,3996,1965,253.786,1268.93
B200-SXM-192GB,half,1,1,4096,5,3996,1965,253.788,1268.94
B200-SXM-192GB,half,1,1,6272,5,3996,1965,253.772,1268.86
B200-SXM-192GB,half,1,1,8448,5,3996,1965,253.773,1268.865
B200-SXM-192GB,half,1,1,10624,5,3996,1965,253.7743333333333,1268.871666666667
B200-SXM-192GB,half,1,1,12800,5,3996,1965,253.81933333333333,1269.0966666666666
B200-SXM-192GB,half,1,1,14976,5,3996,1965,253.833,1269.165
B200-SXM-192GB,half,1,1,17152,5,3996,1965,253.859,1269.295
B200-SXM-192GB,half,1,1,19328,4,3996,1965,253.875,1015.5
B200-SXM-192GB,half,1,1,21504,5,3996,1965,253.898,1269.49
B200-SXM-192GB,half,1,1,23680,5,3996,1965,253.873,1269.365
B200-SXM-192GB,half,1,1,25856,5,3996,1965,253.911,1269.555
B200-SXM-192GB,half,1,1,28032,6,3996,1965,253.93,1523.58
B200-SXM-192GB,half,1,1,30208,5,3996,1965,253.976,1269.88
B200-SXM-192GB,half,1,1,32384,5,3996,1965,253.985,1269.9250000000002
B200-SXM-192GB,half,1,1,34560,5,3996,1965,254.035,1270.175
B200-SXM-192GB,half,1,1,36736,5,3996,1965,254.021,1270.105
B200-SXM-192GB,half,1,1,38912,5,3996,1965,254.05,1270.25
B200-SXM-192GB,half,1,1,41088,5,3996,1965,254.066,1270.33
B200-SXM-192GB,half,1,1,43264,5,3996,1965,254.073,1270.365
B200-SXM-192GB,half,1,1,45440,5,3996,1965,254.081,1270.405
B200-SXM-192GB,half,1,1,47616,5,3996,1965,254.02366666666663,1270.118333333333
B200-SXM-192GB,half,1,1,49792,10,3996,1965,253.98666666666668,2539.866666666667
B200-SXM-192GB,half,1,1,51968,6,3996,1965,253.898,1523.388
B200-SXM-192GB,half,1,1,54144,6,3996,1965,253.929,1523.574
B200-SXM-192GB,half,1,1,56320,5,3996,1965,253.9223333333333,1269.611666666667
B200-SXM-192GB,half,1,1,58496,5,3996,1965,253.9555,1269.7775
B200-SXM-192GB,half,1,1,60672,5,3996,1965,253.9965,1269.9825
B200-SXM-192GB,half,1,1,62848,5,3996,1965,254.0283333333333,1270.1416666666669
B200-SXM-192GB,half,1,1,65024,5,3996,1965,254.0583333333333,1270.2916666666663
B200-SXM-192GB,half,1,2,6,5,3996,1965,254.0956666666667,1270.4783333333337
B200-SXM-192GB,half,1,2,23,5,3996,1965,254.102,1270.51
B200-SXM-192GB,half,1,2,40,5,3996,1965,254.11666666666667,1270.5833333333337
B200-SXM-192GB,half,1,2,57,5,3996,1965,254.126,1270.63
B200-SXM-192GB,half,1,2,74,5,3996,1965,254.10166666666663,1270.5083333333332
B200-SXM-192GB,half,1,2,91,5,3996,1965,254.0935,1270.4675
B200-SXM-192GB,half,1,2,108,5,3996,1965,254.0773333333333,1270.3866666666663
B200-SXM-192GB,half,1,2,125,5,3996,1965,254.0645,1270.3225
B200-SXM-192GB,half,1,2,1920,5,3996,1965,254.062,1270.31
B200-SXM-192GB,half,1,2,4096,5,3996,1965,254.0955,1270.4775
B200-SXM-192GB,half,1,2,6272,5,3996,1965,254.1085,1270.5425
B200-SXM-192GB,half,1,2,8448,5,3996,1965,254.113,1270.5649999999998
B200-SXM-192GB,half,1,2,10624,5,3996,1965,254.126,1270.63
B200-SXM-192GB,half,1,2,12800,5,3996,1965,254.107,1270.535
B200-SXM-192GB,half,1,2,14976,5,3996,1965,254.098,1270.49
B200-SXM-192GB,half,1,2,17152,5,3996,1965,254.104,1270.52
B200-SXM-192GB,half,1,2,19328,5,3996,1965,254.18,1270.9
B200-SXM-192GB,half,1,2,21504,5,3996,1965,254.20033333333333,1271.0016666666666
B200-SXM-192GB,half,1,2,23680,5,3996,1965,254.198,1270.99
B200-SXM-192GB,half,1,2,25856,7,3996,1965,254.1,1778.7
B200-SXM-192GB,half,1,2,28032,5,3996,1965,254.0773333333333,1270.3866666666663
B200-SXM-192GB,half,1,2,30208,5,3996,1965,254.0625,1270.3125
B200-SXM-192GB,half,1,2,32384,5,3996,1965,254.044,1270.2199999999998
B200-SXM-192GB,half,1,2,34560,5,3996,1965,254.1265,1270.6325
B200-SXM-192GB,half,1,2,36736,5,3996,1965,254.18633333333327,1270.9316666666666
B200-SXM-192GB,half,1,2,38912,5,3996,1965,254.171,1270.8549999999998
B200-SXM-192GB,half,1,2,41088,5,3996,1965,254.1676666666667,1270.8383333333334
B200-SXM-192GB,half,1,2,43264,4,3996,1965,254.198,1016.792
B200-SXM-192GB,half,1,2,45440,6,3996,1965,254.19766666666663,1525.186
B200-SXM-192GB,half,1,2,47616,5,3996,1965,254.188,1270.94
B200-SXM-192GB,half,1,2,49792,6,3996,1965,254.21766666666667,1525.306
B200-SXM-192GB,half,1,2,51968,5,3996,1965,254.1723333333333,1270.861666666667
B200-SXM-192GB,half,1,2,54144,6,3996,1965,254.186,1525.116
B200-SXM-192GB,half,1,2,56320,5,3996,1965,254.23433333333327,1271.1716666666666
B200-SXM-192GB,half,1,2,58496,5,3996,1965,254.218,1271.09
B200-SXM-192GB,half,1,2,60672,4,3996,1965,254.275,1017.1
B200-SXM-192GB,half,1,2,62848,5,3996,1965,254.281,1271.405
B200-SXM-192GB,half,1,2,65024,5,3996,1965,254.26833333333332,1271.3416666666667
B200-SXM-192GB,half,1,4,6,5,3996,1965,254.30066666666667,1271.503333333333
B200-SXM-192GB,half,1,4,23,5,3996,1965,254.3105,1271.5525
B200-SXM-192GB,half,1,4,40,5,3996,1965,254.297,1271.485
B200-SXM-192GB,half,1,4,57,5,3996,1965,254.301,1271.505
B200-SXM-192GB,half,1,4,74,5,3996,1965,254.281,1271.405
B200-SXM-192GB,half,1,4,91,5,3996,1965,254.173,1270.865
B200-SXM-192GB,half,1,4,108,6,3996,1965,254.13566666666668,1524.814
B200-SXM-192GB,half,1,4,125,5,3996,1965,254.1326666666667,1270.6633333333334
B200-SXM-192GB,half,1,4,1920,4,3996,1965,254.13166666666663,1016.5266666666666
B200-SXM-192GB,half,1,4,4096,5,3996,1965,254.23,1271.15
B200-SXM-192GB,half,1,4,6272,5,3996,1965,254.28566666666663,1271.4283333333333
B200-SXM-192GB,half,1,4,8448,5,3996,1965,254.2935,1271.4675
B200-SXM-192GB,half,1,4,10624,5,3996,1965,254.2876666666667,1271.4383333333335
B200-SXM-192GB,half,1,4,12800,5,3996,1965,254.22833333333327,1271.1416666666669
B200-SXM-192GB,half,1,4,14976,5,3996,1965,254.1785,1270.8925
B200-SXM-192GB,half,1,4,17152,5,3996,1965,254.15133333333333,1270.756666666667
B200-SXM-192GB,half,1,4,19328,5,3996,1965,254.158,1270.79
B200-SXM-192GB,half,1,4,21504,5,3996,1965,254.158,1270.79
B200-SXM-192GB,half,1,4,23680,5,3996,1965,254.19866666666667,1270.993333333333
B200-SXM-192GB,half,1,4,25856,5,3996,1965,254.24,1271.2
B200-SXM-192GB,half,1,4,28032,5,3996,1965,254.2665,1271.3325
B200-SXM-192GB,half,1,4,30208,5,3996,1965,254.3065,1271.5325
B200-SXM-192GB,half,1,4,32384,5,3996,1965,254.3343333333333,1271.6716666666666
B200-SXM-192GB,half,1,4,34560,5,3996,1965,254.35,1271.75
B200-SXM-192GB,half,1,4,36736,5,3996,1965,254.363,1271.815
B200-SXM-192GB,half,1,4,38912,5,3996,1965,254.35,1271.75
B200-SXM-192GB,half,1,4,41088,5,3996,1965,254.3585,1271.7925
