gpu,dtype,m,k,n,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,half,1,1,5,11,3996,1965,226.2138,2488.3518
B200-SXM-192GB,half,1,1,22,10,3996,1965,238.722,2387.2200000000003
B200-SXM-192GB,half,1,1,39,17,3996,1965,238.828,4060.076
B200-SXM-192GB,half,1,1,56,12,3996,1965,238.95,2867.4
B200-SXM-192GB,half,1,1,73,11,3996,1965,238.94766666666663,2628.4243333333334
B200-SXM-192GB,half,1,1,90,11,3996,1965,239.008,2629.088
B200-SXM-192GB,half,1,1,107,11,3996,1965,238.988,2628.868
B200-SXM-192GB,half,1,1,124,10,3996,1965,239.02566666666667,2390.2566666666667
B200-SXM-192GB,half,1,1,1792,11,3996,1965,239.061,2629.6710000000003
B200-SXM-192GB,half,1,1,3968,11,3996,1965,239.117,2630.2870000000003
B200-SXM-192GB,half,1,1,6144,11,3996,1965,239.143,2630.573
B200-SXM-192GB,half,1,1,8320,10,3996,1965,239.13466666666667,2391.346666666667
B200-SXM-192GB,half,1,1,10496,10,3996,1965,239.0856666666667,2390.856666666667
B200-SXM-192GB,half,1,1,12672,11,3996,1965,239.078,2629.858
B200-SXM-192GB,half,1,1,14848,13,3996,1965,239.105,3108.365
B200-SXM-192GB,half,1,1,17024,12,3996,1965,239.126,2869.512
B200-SXM-192GB,half,1,1,19200,11,3996,1965,239.18766666666667,2631.0643333333333
B200-SXM-192GB,half,1,1,21376,11,3996,1965,239.2443333333333,2631.6876666666667
B200-SXM-192GB,half,1,1,23552,10,3996,1965,239.2863333333333,2392.863333333333
B200-SXM-192GB,half,1,1,25728,11,3996,1965,239.334,2632.674
B200-SXM-192GB,half,1,1,27904,11,3996,1965,239.41,2633.51
B200-SXM-192GB,half,1,1,30080,10,3996,1965,239.3785,2393.785
B200-SXM-192GB,half,1,1,32256,11,3996,1965,239.35533333333333,2632.9086666666667
B200-SXM-192GB,half,1,1,34432,10,3996,1965,239.404,2394.04
B200-SXM-192GB,half,1,1,36608,11,3996,1965,239.40866666666668,2633.4953333333333
B200-SXM-192GB,half,1,1,38784,11,3996,1965,239.411,2633.521
B200-SXM-192GB,half,1,1,40960,11,3996,1965,239.392,2633.312
B200-SXM-192GB,half,1,1,43136,11,3996,1965,239.325,2632.575
B200-SXM-192GB,half,1,1,45312,11,3996,1965,239.297,2632.267
B200-SXM-192GB,half,1,1,47488,11,3996,1965,239.2733333333333,2632.0066666666667
B200-SXM-192GB,half,1,1,49664,11,3996,1965,239.304,2632.344
B200-SXM-192GB,half,1,1,51840,11,3996,1965,239.3793333333333,2633.1726666666664
B200-SXM-192GB,half,1,1,54016,11,3996,1965,239.391,2633.301
B200-SXM-192GB,half,1,1,56192,14,3996,1965,239.43266666666668,3352.0573333333336
B200-SXM-192GB,half,1,1,58368,10,3996,1965,239.397,2393.97
B200-SXM-192GB,half,1,1,60544,10,3996,1965,239.355,2393.55
B200-SXM-192GB,half,1,1,62720,11,3996,1965,239.373,2633.103
B200-SXM-192GB,half,1,1,64896,10,3996,1965,239.3725,2393.725
B200-SXM-192GB,half,1,2,5,8,3996,1965,239.41066666666663,1915.2853333333333
B200-SXM-192GB,half,1,2,22,13,3996,1965,239.405,3112.265
B200-SXM-192GB,half,1,2,39,10,3996,1965,239.383,2393.83
B200-SXM-192GB,half,1,2,56,13,3996,1965,239.318,3111.134
B200-SXM-192GB,half,1,2,73,9,3996,1965,239.394,2154.5460000000003
B200-SXM-192GB,half,1,2,90,9,3996,1965,239.403,2154.627
