gpu,dtype,m,k,n,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,half,1,1,12,5,3996,1965,211.80775,1059.03875
B200-SXM-192GB,half,1,1,29,5,3996,1965,226.733,1133.665
B200-SXM-192GB,half,1,1,46,7,3996,1965,239.747,1678.229
B200-SXM-192GB,half,1,1,63,7,3996,1965,249.24366666666663,1744.7056666666665
B200-SXM-192GB,half,1,1,80,7,3996,1965,249.2965,1745.0755
B200-SXM-192GB,half,1,1,97,8,3996,1965,249.329,1994.632
B200-SXM-192GB,half,1,1,114,7,3996,1965,249.3743333333333,1745.6203333333333
B200-SXM-192GB,half,1,1,512,6,3996,1965,249.458,1496.748
B200-SXM-192GB,half,1,1,2688,8,3996,1965,249.484,1995.872
B200-SXM-192GB,half,1,1,4864,6,3996,1965,249.51066666666665,1497.064
B200-SXM-192GB,half,1,1,7040,5,3996,1965,249.536,1247.68
B200-SXM-192GB,half,1,1,9216,9,3996,1965,249.528,2245.7520000000004
B200-SXM-192GB,half,1,1,11392,5,3996,1965,249.524,1247.62
B200-SXM-192GB,half,1,1,13568,7,3996,1965,249.549,1746.843
B200-SXM-192GB,half,1,1,15744,5,3996,1965,249.562,1247.81
B200-SXM-192GB,half,1,1,17920,5,3996,1965,249.581,1247.905
B200-SXM-192GB,half,1,1,20096,8,3996,1965,249.588,1996.704
B200-SXM-192GB,half,1,1,22272,9,3996,1965,249.57833333333332,2246.205
B200-SXM-192GB,half,1,1,24448,8,3996,1965,249.5745,1996.596
B200-SXM-192GB,half,1,1,26624,5,3996,1965,249.568,1247.84
B200-SXM-192GB,half,1,1,28800,5,3996,1965,249.562,1247.81
B200-SXM-192GB,half,1,1,30976,5,3996,1965,249.581,1247.905
B200-SXM-192GB,half,1,1,33152,5,3996,1965,249.601,1248.005
B200-SXM-192GB,half,1,1,35328,5,3996,1965,249.601,1248.005
B200-SXM-192GB,half,1,1,37504,5,3996,1965,249.614,1248.07
B200-SXM-192GB,half,1,1,39680,5,3996,1965,249.638,1248.19
B200-SXM-192GB,half,1,1,41856,5,3996,1965,249.692,1248.46
B200-SXM-192GB,half,1,1,44032,5,3996,1965,249.676,1248.38
B200-SXM-192GB,half,1,1,46208,8,3996,1965,249.676,1997.408
B200-SXM-192GB,half,1,1,48384,7,3996,1965,249.679,1747.753
B200-SXM-192GB,half,1,1,50560,7,3996,1965,249.6575,1747.6025
B200-SXM-192GB,half,1,1,52736,8,3996,1965,249.6353333333333,1997.0826666666665
B200-SXM-192GB,half,1,1,54912,8,3996,1965,249.651,1997.208
B200-SXM-192GB,half,1,1,57088,8,3996,1965,249.693,1997.544
B200-SXM-192GB,half,1,1,59264,8,3996,1965,249.71166666666667,1997.6933333333332
B200-SXM-192GB,half,1,1,61440,5,3996,1965,249.711,1248.555
B200-SXM-192GB,half,1,1,63616,5,3996,1965,249.702,1248.51
