gpu,dtype,m,k,n,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,half,1,1,15,5,3996,1965,210.52,1052.6
B200-SXM-192GB,half,1,1,32,5,3996,1965,226.24566666666664,1131.2283333333332
B200-SXM-192GB,half,1,1,49,5,3996,1965,237.958,1189.79
B200-SXM-192GB,half,1,1,66,5,3996,1965,247.239,1236.195
B200-SXM-192GB,half,1,1,83,5,3996,1965,247.253,1236.265
B200-SXM-192GB,half,1,1,100,6,3996,1965,247.254,1483.524
B200-SXM-192GB,half,1,1,117,5,3996,1965,247.229,1236.145
B200-SXM-192GB,half,1,1,896,5,3996,1965,247.24133333333336,1236.2066666666667
B200-SXM-192GB,half,1,1,3072,9,3996,1965,247.23300000000003,2225.097
B200-SXM-192GB,half,1,1,5248,5,3996,1965,247.241,1236.2050000000002
B200-SXM-192GB,half,1,1,7424,5,3996,1965,247.267,1236.335
B200-SXM-192GB,half,1,1,9600,5,3996,1965,247.279,1236.395
B200-SXM-192GB,half,1,1,11776,8,3996,1965,247.317,1978.536
B200-SXM-192GB,half,1,1,13952,5,3996,1965,247.345,1236.725
B200-SXM-192GB,half,1,1,16128,5,3996,1965,247.371,1236.855
B200-SXM-192GB,half,1,1,18304,7,3996,1965,247.397,1731.779
B200-SXM-192GB,half,1,1,20480,5,3996,1965,247.41,1237.05
B200-SXM-192GB,half,1,1,22656,5,3996,1965,247.4316666666667,1237.1583333333335
B200-SXM-192GB,half,1,1,24832,8,3996,1965,247.448,1979.584
B200-SXM-192GB,half,1,1,27008,5,3996,1965,247.44566666666665,1237.2283333333332
B200-SXM-192GB,half,1,1,29184,8,3996,1965,247.476,1979.808
B200-SXM-192GB,half,1,1,31360,8,3996,1965,247.50066666666663,1980.0053333333333
B200-SXM-192GB,half,1,1,33536,8,3996,1965,247.49266666666668,1979.9413333333332
B200-SXM-192GB,half,1,1,35712,8,3996,1965,247.488,1979.904
B200-SXM-192GB,half,1,1,37888,7,3996,1965,247.508,1732.556
B200-SXM-192GB,half,1,1,40064,6,3996,1965,247.482,1484.892
B200-SXM-192GB,half,1,1,42240,6,3996,1965,247.482,1484.892
B200-SXM-192GB,half,1,1,44416,5,3996,1965,247.50133333333332,1237.506666666667
B200-SXM-192GB,half,1,1,46592,5,3996,1965,247.533,1237.665
B200-SXM-192GB,half,1,1,48768,5,3996,1965,247.556,1237.78
B200-SXM-192GB,half,1,1,50944,9,3996,1965,247.564,2228.076
B200-SXM-192GB,half,1,1,53120,5,3996,1965,247.5455,1237.7275
B200-SXM-192GB,half,1,1,55296,5,3996,1965,247.51966666666667,1237.5983333333334
B200-SXM-192GB,half,1,1,57472,8,3996,1965,247.462,1979.696
B200-SXM-192GB,half,1,1,59648,9,3996,1965,247.45433333333327,2227.089
B200-SXM-192GB,half,1,1,61824,5,3996,1965,247.5325,1237.6625
B200-SXM-192GB,half,1,1,64000,6,3996,1965,247.5935,1485.561
B200-SXM-192GB,half,1,2,15,5,3996,1965,247.591,1237.955
B200-SXM-192GB,half,1,2,32,5,3996,1965,247.609,1238.045
B200-SXM-192GB,half,1,2,49,5,3996,1965,247.66,1238.3
B200-SXM-192GB,half,1,2,66,5,3996,1965,247.63,1238.15
B200-SXM-192GB,half,1,2,83,5,3996,1965,247.578,1237.89
B200-SXM-192GB,half,1,2,100,5,3996,1965,247.5856666666667,1237.9283333333335
B200-SXM-192GB,half,1,2,117,5,3996,1965,247.5805,1237.9025
B200-SXM-192GB,half,1,2,896,5,3996,1965,247.57266666666663,1237.8633333333332
B200-SXM-192GB,half,1,2,3072,5,3996,1965,247.478,1237.39
B200-SXM-192GB,half,1,2,5248,5,3996,1965,247.466,1237.33
B200-SXM-192GB,half,1,2,7424,5,3996,1965,247.5335,1237.6675
B200-SXM-192GB,half,1,2,9600,5,3996,1965,247.53766666666664,1237.6883333333333
B200-SXM-192GB,half,1,2,11776,6,3996,1965,247.558,1485.348
B200-SXM-192GB,half,1,2,13952,5,3996,1965,247.591,1237.955
B200-SXM-192GB,half,1,2,16128,8,3996,1965,247.583,1980.664
B200-SXM-192GB,half,1,2,18304,5,3996,1965,247.583,1237.915
B200-SXM-192GB,half,1,2,20480,7,3996,1965,247.584,1733.088
B200-SXM-192GB,half,1,2,22656,6,3996,1965,247.6173333333333,1485.704
B200-SXM-192GB,half,1,2,24832,5,3996,1965,247.6495,1238.2475
B200-SXM-192GB,half,1,2,27008,7,3996,1965,247.658,1733.606
B200-SXM-192GB,half,1,2,29184,5,3996,1965,247.609,1238.045
B200-SXM-192GB,half,1,2,31360,5,3996,1965,247.604,1238.02
B200-SXM-192GB,half,1,2,33536,5,3996,1965,247.617,1238.085
B200-SXM-192GB,half,1,2,35712,5,3996,1965,247.62466666666668,1238.1233333333334
B200-SXM-192GB,half,1,2,37888,5,3996,1965,247.5856666666667,1237.9283333333335
B200-SXM-192GB,half,1,2,40064,5,3996,1965,247.63,1238.15
B200-SXM-192GB,half,1,2,42240,5,3996,1965,247.617,1238.085
B200-SXM-192GB,half,1,2,44416,5,3996,1965,247.638,1238.19
B200-SXM-192GB,half,1,2,46592,5,3996,1965,247.653,1238.265
B200-SXM-192GB,half,1,2,48768,5,3996,1965,247.6615,1238.3075
B200-SXM-192GB,half,1,2,50944,5,3996,1965,247.665,1238.325
B200-SXM-192GB,half,1,2,53120,6,3996,1965,247.665,1485.99
B200-SXM-192GB,half,1,2,55296,5,3996,1965,247.672,1238.36
B200-SXM-192GB,half,1,2,57472,5,3996,1965,247.69066666666663,1238.4533333333334
B200-SXM-192GB,half,1,2,59648,5,3996,1965,247.685,1238.425
B200-SXM-192GB,half,1,2,61824,5,3996,1965,247.69,1238.4499999999998
B200-SXM-192GB,half,1,2,64000,5,3996,1965,247.72,1238.6
B200-SXM-192GB,half,1,4,15,5,3996,1965,247.69833333333332,1238.4916666666668
B200-SXM-192GB,half,1,4,32,5,3996,1965,247.68533333333332,1238.4266666666667
B200-SXM-192GB,half,1,4,49,5,3996,1965,247.6845,1238.4225
B200-SXM-192GB,half,1,4,66,5,3996,1965,247.6413333333333,1238.2066666666667
B200-SXM-192GB,half,1,4,83,5,3996,1965,247.578,1237.89
B200-SXM-192GB,half,1,4,100,5,3996,1965,247.583,1237.915
B200-SXM-192GB,half,1,4,117,5,3996,1965,247.596,1237.98
B200-SXM-192GB,half,1,4,896,5,3996,1965,247.57933333333332,1237.8966666666668
B200-SXM-192GB,half,1,4,3072,5,3996,1965,247.619,1238.095
B200-SXM-192GB,half,1,4,5248,5,3996,1965,247.6085,1238.0425
B200-SXM-192GB,half,1,4,7424,4,3996,1965,247.602,990.408
B200-SXM-192GB,half,1,4,9600,5,3996,1965,247.621,1238.105
B200-SXM-192GB,half,1,4,11776,5,3996,1965,247.643,1238.215
B200-SXM-192GB,half,1,4,13952,5,3996,1965,247.71166666666667,1238.5583333333334
B200-SXM-192GB,half,1,4,16128,5,3996,1965,247.70466666666667,1238.5233333333333
B200-SXM-192GB,half,1,4,18304,5,3996,1965,247.715,1238.575
B200-SXM-192GB,half,1,4,20480,5,3996,1965,247.721,1238.605
B200-SXM-192GB,half,1,4,22656,5,3996,1965,247.676,1238.38
B200-SXM-192GB,half,1,4,24832,5,3996,1965,247.71666666666667,1238.5833333333333
B200-SXM-192GB,half,1,4,27008,5,3996,1965,247.72,1238.6
B200-SXM-192GB,half,1,4,29184,5,3996,1965,247.748,1238.74
B200-SXM-192GB,half,1,4,31360,5,3996,1965,247.75933333333333,1238.7966666666666
B200-SXM-192GB,half,1,4,33536,5,3996,1965,247.73,1238.65
B200-SXM-192GB,half,1,4,35712,5,3996,1965,247.722,1238.61
