gpu,dtype,m,k,n,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,half,1,1,13,5,3996,1965,228.549,1142.745
B200-SXM-192GB,half,1,1,30,5,3996,1965,241.174,1205.87
B200-SXM-192GB,half,1,1,47,5,3996,1965,248.6233333333333,1243.1166666666668
B200-SXM-192GB,half,1,1,64,6,3996,1965,248.666,1491.996
B200-SXM-192GB,half,1,1,81,5,3996,1965,248.588,1242.94
B200-SXM-192GB,half,1,1,98,5,3996,1965,248.655,1243.275
B200-SXM-192GB,half,1,1,115,5,3996,1965,248.717,1243.585
B200-SXM-192GB,half,1,1,640,5,3996,1965,248.72366666666667,1243.618333333333
B200-SXM-192GB,half,1,1,2816,5,3996,1965,248.753,1243.765
B200-SXM-192GB,half,1,1,4992,5,3996,1965,248.74633333333333,1243.7316666666668
B200-SXM-192GB,half,1,1,7168,5,3996,1965,248.7133333333333,1243.5666666666666
B200-SXM-192GB,half,1,1,9344,5,3996,1965,248.706,1243.53
B200-SXM-192GB,half,1,1,11520,5,3996,1965,248.721,1243.605
B200-SXM-192GB,half,1,1,13696,5,3996,1965,248.765,1243.8249999999998
B200-SXM-192GB,half,1,1,15872,5,3996,1965,248.78633333333332,1243.9316666666668
B200-SXM-192GB,half,1,1,18048,5,3996,1965,248.8445,1244.2225
B200-SXM-192GB,half,1,1,20224,4,3996,1965,248.88433333333333,995.5373333333332
B200-SXM-192GB,half,1,1,22400,5,3996,1965,248.91066666666663,1244.5533333333333
B200-SXM-192GB,half,1,1,24576,5,3996,1965,248.8855,1244.4274999999998
B200-SXM-192GB,half,1,1,26752,5,3996,1965,248.9175,1244.5875
B200-SXM-192GB,half,1,1,28928,5,3996,1965,248.9033333333333,1244.5166666666669
B200-SXM-192GB,half,1,1,31104,5,3996,1965,248.899,1244.495
B200-SXM-192GB,half,1,1,33280,5,3996,1965,248.966,1244.83
B200-SXM-192GB,half,1,1,35456,5,3996,1965,248.968,1244.84
B200-SXM-192GB,half,1,1,37632,5,3996,1965,248.99066666666667,1244.9533333333334
B200-SXM-192GB,half,1,1,39808,5,3996,1965,249.048,1245.24
B200-SXM-192GB,half,1,1,41984,5,3996,1965,249.019,1245.095
B200-SXM-192GB,half,1,1,44160,6,3996,1965,248.967,1493.802
B200-SXM-192GB,half,1,1,46336,5,3996,1965,248.965,1244.825
B200-SXM-192GB,half,1,1,48512,5,3996,1965,248.95533333333333,1244.7766666666666
B200-SXM-192GB,half,1,1,50688,5,3996,1965,248.97,1244.85
B200-SXM-192GB,half,1,1,52864,5,3996,1965,249.0103333333333,1245.0516666666665
B200-SXM-192GB,half,1,1,55040,6,3996,1965,249.047,1494.282
B200-SXM-192GB,half,1,1,57216,6,3996,1965,249.048,1494.288
B200-SXM-192GB,half,1,1,59392,5,3996,1965,249.0203333333333,1245.1016666666665
B200-SXM-192GB,half,1,1,61568,6,3996,1965,249.004,1494.024
B200-SXM-192GB,half,1,1,63744,5,3996,1965,248.978,1244.89
B200-SXM-192GB,half,1,2,13,5,3996,1965,249.00366666666665,1245.0183333333332
B200-SXM-192GB,half,1,2,30,5,3996,1965,249.051,1245.255
B200-SXM-192GB,half,1,2,47,5,3996,1965,249.0345,1245.1725
B200-SXM-192GB,half,1,2,64,5,3996,1965,249.0533333333333,1245.2666666666669
B200-SXM-192GB,half,1,2,81,5,3996,1965,249.056,1245.28
B200-SXM-192GB,half,1,2,98,5,3996,1965,249.05966666666663,1245.2983333333332
B200-SXM-192GB,half,1,2,115,5,3996,1965,249.06466666666665,1245.3233333333333
B200-SXM-192GB,half,1,2,640,6,3996,1965,249.05533333333327,1494.332
B200-SXM-192GB,half,1,2,2816,5,3996,1965,249.033,1245.165
B200-SXM-192GB,half,1,2,4992,5,3996,1965,248.976,1244.88
B200-SXM-192GB,half,1,2,7168,5,3996,1965,248.96866666666665,1244.8433333333332
B200-SXM-192GB,half,1,2,9344,5,3996,1965,248.98766666666663,1244.9383333333333
B200-SXM-192GB,half,1,2,11520,5,3996,1965,249.00333333333333,1245.0166666666669
B200-SXM-192GB,half,1,2,13696,5,3996,1965,249.032,1245.16
B200-SXM-192GB,half,1,2,15872,5,3996,1965,249.045,1245.225
