gpu,dtype,m,k,n,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,half,1,1,17,5,3996,1965,207.2065,1036.0325
B200-SXM-192GB,half,1,1,34,5,3996,1965,220.027,1100.135
B200-SXM-192GB,half,1,1,51,5,3996,1965,230.707,1153.535
B200-SXM-192GB,half,1,1,68,5,3996,1965,239.848,1199.24
B200-SXM-192GB,half,1,1,85,5,3996,1965,242.79266666666663,1213.9633333333331
B200-SXM-192GB,half,1,1,102,5,3996,1965,242.8205,1214.1025
B200-SXM-192GB,half,1,1,119,5,3996,1965,242.865,1214.325
B200-SXM-192GB,half,1,1,1152,5,3996,1965,242.853,1214.265
B200-SXM-192GB,half,1,1,3328,5,3996,1965,242.817,1214.085
B200-SXM-192GB,half,1,1,5504,5,3996,1965,242.761,1213.805
B200-SXM-192GB,half,1,1,7680,6,3996,1965,242.785,1456.71
B200-SXM-192GB,half,1,1,9856,5,3996,1965,242.73450000000005,1213.6725
B200-SXM-192GB,half,1,1,12032,5,3996,1965,242.7585,1213.7925
B200-SXM-192GB,half,1,1,14208,5,3996,1965,242.7985,1213.9924999999998
B200-SXM-192GB,half,1,1,16384,5,3996,1965,242.864,1214.32
B200-SXM-192GB,half,1,1,18560,5,3996,1965,242.85966666666664,1214.2983333333332
B200-SXM-192GB,half,1,1,20736,5,3996,1965,242.954,1214.77
B200-SXM-192GB,half,1,1,22912,4,3996,1965,242.995,971.98
B200-SXM-192GB,half,1,1,25088,5,3996,1965,243.021,1215.105
B200-SXM-192GB,half,1,1,27264,5,3996,1965,243.06566666666663,1215.3283333333334
B200-SXM-192GB,half,1,1,29440,5,3996,1965,243.044,1215.2199999999998
B200-SXM-192GB,half,1,1,31616,5,3996,1965,243.03,1215.15
B200-SXM-192GB,half,1,1,33792,6,3996,1965,243.043,1458.258
B200-SXM-192GB,half,1,1,35968,5,3996,1965,242.96666666666667,1214.8333333333333
B200-SXM-192GB,half,1,1,38144,5,3996,1965,242.928,1214.64
B200-SXM-192GB,half,1,1,40320,5,3996,1965,242.941,1214.705
B200-SXM-192GB,half,1,1,42496,5,3996,1965,242.928,1214.64
B200-SXM-192GB,half,1,1,44672,5,3996,1965,242.89866666666663,1214.493333333333
B200-SXM-192GB,half,1,1,46848,5,3996,1965,242.904,1214.52
B200-SXM-192GB,half,1,1,49024,5,3996,1965,242.942,1214.71
B200-SXM-192GB,half,1,1,51200,7,3996,1965,242.956,1700.692
B200-SXM-192GB,half,1,1,53376,7,3996,1965,242.968,1700.7759999999998
B200-SXM-192GB,half,1,1,55552,6,3996,1965,243.11,1458.66
B200-SXM-192GB,half,1,1,57728,5,3996,1965,243.1565,1215.7825
B200-SXM-192GB,half,1,1,59904,5,3996,1965,243.192,1215.96
B200-SXM-192GB,half,1,1,62080,6,3996,1965,243.2263333333333,1459.358
B200-SXM-192GB,half,1,1,64256,5,3996,1965,243.11333333333332,1215.5666666666666
B200-SXM-192GB,half,1,2,17,5,3996,1965,243.07533333333333,1215.3766666666666
B200-SXM-192GB,half,1,2,34,5,3996,1965,243.02666666666667,1215.1333333333334
B200-SXM-192GB,half,1,2,51,6,3996,1965,243.006,1458.036
B200-SXM-192GB,half,1,2,68,5,3996,1965,243.0233333333333,1215.1166666666666
B200-SXM-192GB,half,1,2,85,6,3996,1965,242.995,1457.97
B200-SXM-192GB,half,1,2,102,5,3996,1965,242.99366666666663,1214.9683333333332
B200-SXM-192GB,half,1,2,119,5,3996,1965,242.995,1214.975
B200-SXM-192GB,half,1,2,1152,5,3996,1965,242.9993333333333,1214.996666666667
B200-SXM-192GB,half,1,2,3328,5,3996,1965,242.9763333333333,1214.881666666667
B200-SXM-192GB,half,1,2,5504,5,3996,1965,242.99,1214.95
B200-SXM-192GB,half,1,2,7680,5,3996,1965,242.981,1214.905
B200-SXM-192GB,half,1,2,9856,5,3996,1965,242.94266666666667,1214.7133333333334
B200-SXM-192GB,half,1,2,12032,5,3996,1965,242.993,1214.965
B200-SXM-192GB,half,1,2,14208,6,3996,1965,242.98433333333327,1457.906
B200-SXM-192GB,half,1,2,16384,5,3996,1965,242.9935,1214.9675
B200-SXM-192GB,half,1,2,18560,5,3996,1965,243.0145,1215.0725
B200-SXM-192GB,half,1,2,20736,5,3996,1965,243.0365,1215.1825
B200-SXM-192GB,half,1,2,22912,5,3996,1965,243.0195,1215.0975
B200-SXM-192GB,half,1,2,25088,6,3996,1965,243.008,1458.048
B200-SXM-192GB,half,1,2,27264,5,3996,1965,243.034,1215.17
B200-SXM-192GB,half,1,2,29440,5,3996,1965,243.0245,1215.1225
B200-SXM-192GB,half,1,2,31616,6,3996,1965,243.056,1458.3359999999998
B200-SXM-192GB,half,1,2,33792,6,3996,1965,243.08966666666663,1458.538
B200-SXM-192GB,half,1,2,35968,5,3996,1965,243.0725,1215.3625
B200-SXM-192GB,half,1,2,38144,5,3996,1965,243.03,1215.15
B200-SXM-192GB,half,1,2,40320,7,3996,1965,243.0333333333333,1701.2333333333331
B200-SXM-192GB,half,1,2,42496,5,3996,1965,242.9875,1214.9375
B200-SXM-192GB,half,1,2,44672,5,3996,1965,243.01366666666664,1215.0683333333332
B200-SXM-192GB,half,1,2,46848,5,3996,1965,243.0276666666667,1215.1383333333335
B200-SXM-192GB,half,1,2,49024,5,3996,1965,243.096,1215.48
B200-SXM-192GB,half,1,2,51200,6,3996,1965,243.149,1458.894
B200-SXM-192GB,half,1,2,53376,5,3996,1965,243.15,1215.75
B200-SXM-192GB,half,1,2,55552,5,3996,1965,243.183,1215.915
B200-SXM-192GB,half,1,2,57728,5,3996,1965,243.176,1215.88
B200-SXM-192GB,half,1,2,59904,5,3996,1965,243.157,1215.785
B200-SXM-192GB,half,1,2,62080,5,3996,1965,243.098,1215.49
B200-SXM-192GB,half,1,2,64256,5,3996,1965,243.149,1215.745
B200-SXM-192GB,half,1,4,17,5,3996,1965,243.1483333333333,1215.7416666666668
B200-SXM-192GB,half,1,4,34,6,3996,1965,243.073,1458.438
B200-SXM-192GB,half,1,4,51,5,3996,1965,243.043,1215.215
B200-SXM-192GB,half,1,4,68,5,3996,1965,243.00366666666665,1215.0183333333332
B200-SXM-192GB,half,1,4,85,5,3996,1965,242.9745,1214.8725
B200-SXM-192GB,half,1,4,102,6,3996,1965,242.9735,1457.841
B200-SXM-192GB,half,1,4,119,6,3996,1965,242.99433333333332,1457.966
B200-SXM-192GB,half,1,4,1152,5,3996,1965,242.993,1214.965
B200-SXM-192GB,half,1,4,3328,5,3996,1965,242.993,1214.965
B200-SXM-192GB,half,1,4,5504,5,3996,1965,242.977,1214.885
B200-SXM-192GB,half,1,4,7680,5,3996,1965,242.994,1214.97
B200-SXM-192GB,half,1,4,9856,5,3996,1965,242.9875,1214.9375
B200-SXM-192GB,half,1,4,12032,5,3996,1965,243.062,1215.31
B200-SXM-192GB,half,1,4,14208,5,3996,1965,243.0915,1215.4575
B200-SXM-192GB,half,1,4,16384,7,3996,1965,243.094,1701.6579999999997
B200-SXM-192GB,half,1,4,18560,5,3996,1965,243.073,1215.365
B200-SXM-192GB,half,1,4,20736,5,3996,1965,243.043,1215.215
B200-SXM-192GB,half,1,4,22912,6,3996,1965,243.037,1458.222
B200-SXM-192GB,half,1,4,25088,4,3996,1965,243.0455,972.182
B200-SXM-192GB,half,1,4,27264,5,3996,1965,243.0655,1215.3275
