gpu,dtype,op,world_size,size_bytes,time_us
H100-SXM-80GB,bfloat16,reducescatter,2,268435456,597.7392196655273
H100-SXM-80GB,bfloat16,reducescatter,2,536870912,1113.3432388305664
H100-SXM-80GB,bfloat16,reducescatter,2,1073741824,2072.286605834961
H100-SXM-80GB,bfloat16,sendrecv,2,1024,24.87012534402311
H100-SXM-80GB,bfloat16,sendrecv,2,16384,27.583068003877997
H100-SXM-80GB,bfloat16,sendrecv,2,65536,27.562840841710567
H100-SXM-80GB,bfloat16,sendrecv,2,262144,26.033027097582817
H100-SXM-80GB,bfloat16,sendrecv,2,1048576,21.321000531315804
H100-SXM-80GB,bfloat16,sendrecv,2,1572864,24.032383021021868
H100-SXM-80GB,bfloat16,sendrecv,2,2097152,23.77992495894432
H100-SXM-80GB,bfloat16,sendrecv,2,3145728,84.7826255731219
H100-SXM-80GB,bfloat16,sendrecv,2,4194304,21.869316697120667
H100-SXM-80GB,bfloat16,sendrecv,2,6291456,27.596249299890854
H100-SXM-80GB,bfloat16,sendrecv,2,8388608,33.332034945487976
H100-SXM-80GB,bfloat16,sendrecv,2,12582912,45.2883103314568
H100-SXM-80GB,bfloat16,sendrecv,2,16777216,259.61175560951233
H100-SXM-80GB,bfloat16,sendrecv,2,25165824,80.05187624976749
H100-SXM-80GB,bfloat16,sendrecv,2,33554432,104.04735803604126
H100-SXM-80GB,bfloat16,sendrecv,2,67108864,198.90069961547852
H100-SXM-80GB,bfloat16,sendrecv,2,134217728,384.3069076538086
H100-SXM-80GB,bfloat16,sendrecv,2,268435456,750.2079010009766
H100-SXM-80GB,bfloat16,sendrecv,2,536870912,1450.490951538086
H100-SXM-80GB,bfloat16,sendrecv,2,1073741824,3161.025047302246
H100-SXM-80GB,bfloat16,allreduce,4,1024,23.502623662352562
H100-SXM-80GB,bfloat16,allreduce,4,16384,24.350156309083104
H100-SXM-80GB,bfloat16,allreduce,4,65536,25.711895432323217
H100-SXM-80GB,bfloat16,allreduce,4,262144,25.932444259524345
H100-SXM-80GB,bfloat16,allreduce,4,1048576,20.40993422269821
H100-SXM-80GB,bfloat16,allreduce,4,1572864,22.289690034480387
H100-SXM-80GB,bfloat16,allreduce,4,2097152,27.313362807035446
H100-SXM-80GB,bfloat16,allreduce,4,3145728,32.75703474922963
H100-SXM-80GB,bfloat16,allreduce,4,4194304,40.61032086610794
H100-SXM-80GB,bfloat16,allreduce,4,6291456,150.21352206959443
H100-SXM-80GB,bfloat16,allreduce,4,8388608,62.66497075557709
H100-SXM-80GB,bfloat16,allreduce,4,12582912,80.41157441980698
H100-SXM-80GB,bfloat16,allreduce,4,16777216,95.82936763763428
H100-SXM-80GB,bfloat16,allreduce,4,25165824,133.13406989687965
H100-SXM-80GB,bfloat16,allreduce,4,33554432,172.76406288146973
H100-SXM-80GB,bfloat16,allreduce,4,67108864,323.86183738708496
H100-SXM-80GB,bfloat16,allreduce,4,134217728,617.1464920043945
H100-SXM-80GB,bfloat16,allreduce,4,268435456,1184.5111846923828
H100-SXM-80GB,bfloat16,allreduce,4,536870912,2306.8904876708984
H100-SXM-80GB,bfloat16,allreduce,4,1073741824,4548.931121826172
H100-SXM-80GB,bfloat16,alltoall,4,1024,37.45671710930765
H100-SXM-80GB,bfloat16,alltoall,4,16384,38.73018431477249
H100-SXM-80GB,bfloat16,alltoall,4,65536,35.73304275050759
H100-SXM-80GB,bfloat16,alltoall,4,262144,41.21212987229228
H100-SXM-80GB,bfloat16,alltoall,4,1048576,34.397002309560776
H100-SXM-80GB,bfloat16,alltoall,4,1572864,38.19556529920472
H100-SXM-80GB,bfloat16,alltoall,4,2097152,64.92948159575462
H100-SXM-80GB,bfloat16,alltoall,4,3145728,36.25780256612559
H100-SXM-80GB,bfloat16,alltoall,4,4194304,32.93342888355255
H100-SXM-80GB,bfloat16,alltoall,4,6291456,33.00133873434628
H100-SXM-80GB,bfloat16,alltoall,4,8388608,38.038939237594604
H100-SXM-80GB,bfloat16,alltoall,4,12582912,51.98086009306066
H100-SXM-80GB,bfloat16,alltoall,4,16777216,65.39374589920044
H100-SXM-80GB,bfloat16,alltoall,4,25165824,88.09566497802734
H100-SXM-80GB,bfloat16,alltoall,4,33554432,109.73215103149414
H100-SXM-80GB,bfloat16,alltoall,4,67108864,191.9865608215332
H100-SXM-80GB,bfloat16,alltoall,4,134217728,351.90582275390625
H100-SXM-80GB,bfloat16,alltoall,4,268435456,1293.3731079101562
H100-SXM-80GB,bfloat16,alltoall,4,536870912,1276.7553329467773
H100-SXM-80GB,bfloat16,alltoall,4,1073741824,2395.5583572387695
H100-SXM-80GB,bfloat16,allgather,4,1024,22.133142920210958
H100-SXM-80GB,bfloat16,allgather,4,16384,20.200037397444248
H100-SXM-80GB,bfloat16,allgather,4,65536,20.674633560702205
H100-SXM-80GB,bfloat16,allgather,4,262144,17.43558095768094
H100-SXM-80GB,bfloat16,allgather,4,1048576,17.11188815534115
H100-SXM-80GB,bfloat16,allgather,4,1572864,58.887990688648394
H100-SXM-80GB,bfloat16,allgather,4,2097152,19.168946892023087
H100-SXM-80GB,bfloat16,allgather,4,3145728,23.405572885641956
H100-SXM-80GB,bfloat16,allgather,4,4194304,40.33464938402176
H100-SXM-80GB,bfloat16,allgather,4,6291456,40.51993874942555
H100-SXM-80GB,bfloat16,allgather,4,8388608,45.767053961753845
H100-SXM-80GB,bfloat16,allgather,4,12582912,56.45751953125
H100-SXM-80GB,bfloat16,allgather,4,16777216,67.35697388648987
H100-SXM-80GB,bfloat16,allgather,4,25165824,88.64629836309524
H100-SXM-80GB,bfloat16,allgather,4,33554432,110.23133993148804
H100-SXM-80GB,bfloat16,allgather,4,67108864,194.8326826095581
H100-SXM-80GB,bfloat16,allgather,4,134217728,350.5229949951172
H100-SXM-80GB,bfloat16,allgather,4,268435456,1779.2940139770508
H100-SXM-80GB,bfloat16,allgather,4,536870912,1273.8943099975586
H100-SXM-80GB,bfloat16,allgather,4,1073741824,2481.10294342041
H100-SXM-80GB,bfloat16,reducescatter,4,1024,23.72878952883184
H100-SXM-80GB,bfloat16,reducescatter,4,16384,21.326704882085323
H100-SXM-80GB,bfloat16,reducescatter,4,65536,26.14338882267475
H100-SXM-80GB,bfloat16,reducescatter,4,262144,26.396650355309248
H100-SXM-80GB,bfloat16,reducescatter,4,1048576,18.46509985625744
H100-SXM-80GB,bfloat16,reducescatter,4,1572864,22.068401235988762
H100-SXM-80GB,bfloat16,reducescatter,4,2097152,20.09095624089241
H100-SXM-80GB,bfloat16,reducescatter,4,3145728,22.291787558636706
H100-SXM-80GB,bfloat16,reducescatter,4,4194304,34.2661514878273
H100-SXM-80GB,bfloat16,reducescatter,4,6291456,158.2776798921473
H100-SXM-80GB,bfloat16,reducescatter,4,8388608,79.62808012962341
H100-SXM-80GB,bfloat16,reducescatter,4,12582912,47.807132496553315
H100-SXM-80GB,bfloat16,reducescatter,4,16777216,59.73502993583679
H100-SXM-80GB,bfloat16,reducescatter,4,25165824,81.80595579601469
H100-SXM-80GB,bfloat16,reducescatter,4,33554432,105.78334331512451
H100-SXM-80GB,bfloat16,reducescatter,4,67108864,194.01311874389648
H100-SXM-80GB,bfloat16,reducescatter,4,134217728,357.0556640625
H100-SXM-80GB,bfloat16,reducescatter,4,268435456,679.4452667236328
H100-SXM-80GB,bfloat16,reducescatter,4,536870912,1302.3614883422852
H100-SXM-80GB,bfloat16,reducescatter,4,1073741824,2510.7860565185547
H100-SXM-80GB,bfloat16,allreduce,8,1024,25.283050490543246
H100-SXM-80GB,bfloat16,allreduce,8,16384,24.62952397763729
H100-SXM-80GB,bfloat16,allreduce,8,65536,22.561056539416313
H100-SXM-80GB,bfloat16,allreduce,8,262144,24.41782271489501
H100-SXM-80GB,bfloat16,allreduce,8,1048576,43.79334859549999
H100-SXM-80GB,bfloat16,allreduce,8,1572864,34.74164218846654
H100-SXM-80GB,bfloat16,allreduce,8,2097152,39.28970545530319
H100-SXM-80GB,bfloat16,allreduce,8,3145728,56.978544531679574
H100-SXM-80GB,bfloat16,allreduce,8,4194304,51.369890570640564
H100-SXM-80GB,bfloat16,allreduce,8,6291456,62.131881713867195
H100-SXM-80GB,bfloat16,allreduce,8,8388608,76.0350376367569
H100-SXM-80GB,bfloat16,allreduce,8,12582912,185.90758828555838
H100-SXM-80GB,bfloat16,allreduce,8,16777216,127.92646884918213
H100-SXM-80GB,bfloat16,allreduce,8,25165824,161.6364433651879
H100-SXM-80GB,bfloat16,allreduce,8,33554432,219.60586309432983
H100-SXM-80GB,bfloat16,allreduce,8,67108864,326.20131969451904
H100-SXM-80GB,bfloat16,allreduce,8,134217728,580.5253982543945
H100-SXM-80GB,bfloat16,allreduce,8,268435456,1097.273826599121
H100-SXM-80GB,bfloat16,allreduce,8,536870912,2116.060256958008
H100-SXM-80GB,bfloat16,allreduce,8,1073741824,4020.404815673828
H100-SXM-80GB,bfloat16,alltoall,8,1024,46.50087794288993
H100-SXM-80GB,bfloat16,alltoall,8,16384,46.55751399695873
H100-SXM-80GB,bfloat16,alltoall,8,65536,45.849737944081426
H100-SXM-80GB,bfloat16,alltoall,8,262144,47.09174390882254
H100-SXM-80GB,bfloat16,alltoall,8,1048576,52.058836445212364
H100-SXM-80GB,bfloat16,alltoall,8,1572864,62.327930305011115
H100-SXM-80GB,bfloat16,alltoall,8,2097152,64.52715024352074
H100-SXM-80GB,bfloat16,alltoall,8,3145728,56.662517558794214
H100-SXM-80GB,bfloat16,alltoall,8,4194304,43.30649971961975
H100-SXM-80GB,bfloat16,alltoall,8,6291456,98.75437792609719
H100-SXM-80GB,bfloat16,alltoall,8,8388608,47.08394408226013
H100-SXM-80GB,bfloat16,alltoall,8,12582912,57.980593513039985
H100-SXM-80GB,bfloat16,alltoall,8,16777216,73.25038313865662
H100-SXM-80GB,bfloat16,alltoall,8,25165824,99.36378115699405
H100-SXM-80GB,bfloat16,alltoall,8,33554432,124.05216693878174
H100-SXM-80GB,bfloat16,alltoall,8,67108864,630.4383277893066
H100-SXM-80GB,bfloat16,alltoall,8,134217728,396.10862731933594
H100-SXM-80GB,bfloat16,alltoall,8,268435456,760.2453231811523
H100-SXM-80GB,bfloat16,alltoall,8,536870912,1461.1244201660156
H100-SXM-80GB,bfloat16,alltoall,8,1073741824,2838.0393981933594
H100-SXM-80GB,bfloat16,allgather,8,1024,21.020357962697744
H100-SXM-80GB,bfloat16,allgather,8,16384,23.127009626477957
H100-SXM-80GB,bfloat16,allgather,8,65536,23.61019141972065
H100-SXM-80GB,bfloat16,allgather,8,262144,25.442626792937517
H100-SXM-80GB,bfloat16,allgather,8,1048576,34.546712413430214
H100-SXM-80GB,bfloat16,allgather,8,1572864,34.910492883050196
H100-SXM-80GB,bfloat16,allgather,8,2097152,48.52749407291412
H100-SXM-80GB,bfloat16,allgather,8,3145728,27.75094376281559
H100-SXM-80GB,bfloat16,allgather,8,4194304,33.49781036376953
H100-SXM-80GB,bfloat16,allgather,8,6291456,39.35870002297794
H100-SXM-80GB,bfloat16,allgather,8,8388608,103.8573682308197
H100-SXM-80GB,bfloat16,allgather,8,12582912,52.93172948500689
H100-SXM-80GB,bfloat16,allgather,8,16777216,77.30349898338318
H100-SXM-80GB,bfloat16,allgather,8,25165824,103.71775854201543
