gpu,dtype,variant,num_heads,num_heads_kv,head_size,batch_size,seq_len,window_left,window_right,causal,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,bfloat16,gqa,64,16,128,8,256,-1,-1,1,68,3996,1965,308.041,20946.788
B200-SXM-192GB,bfloat16,gqa,64,32,128,8,256,-1,-1,1,69,3996,1965,238.847,16480.443
B200-SXM-192GB,bfloat16,gqa,64,4,128,8,512,-1,-1,1,150,3996,1965,238.847,35827.05
B200-SXM-192GB,bfloat16,gqa,64,8,128,8,512,-1,-1,1,150,3996,1965,244.068,36610.200000000004
B200-SXM-192GB,bfloat16,gqa,64,16,128,8,512,-1,-1,1,149,3996,1965,244.068,36366.132000000005
B200-SXM-192GB,bfloat16,gqa,64,32,128,8,512,-1,-1,1,148,3996,1965,260.688,38581.824
B200-SXM-192GB,bfloat16,gqa,64,4,128,8,1024,-1,-1,1,431,3996,1965,260.688,112356.52799999999
B200-SXM-192GB,bfloat16,gqa,64,8,128,8,1024,-1,-1,1,431,3996,1965,277.647,119665.85699999999
B200-SXM-192GB,bfloat16,gqa,64,16,128,8,1024,-1,-1,1,431,3996,1965,327.757,141263.267
B200-SXM-192GB,bfloat16,gqa,64,32,128,8,1024,-1,-1,1,431,3996,1965,327.757,141263.267
B200-SXM-192GB,bfloat16,gqa,64,4,128,8,2048,-1,-1,1,1465,3996,1965,400.0636666666667,586093.2716666667
B200-SXM-192GB,bfloat16,gqa,64,8,128,8,2048,-1,-1,1,1465,3996,1965,476.7916666666667,698499.7916666667
B200-SXM-192GB,bfloat16,gqa,64,16,128,8,2048,-1,-1,1,1465,3996,1965,596.105,873293.8250000001
B200-SXM-192GB,bfloat16,gqa,64,32,128,8,2048,-1,-1,1,1465,3996,1965,696.1443333333333,1019851.4483333332
B200-SXM-192GB,bfloat16,gqa,64,4,128,8,4096,-1,-1,1,5382,3996,1965,793.803,4272247.746
B200-SXM-192GB,bfloat16,gqa,64,8,128,8,4096,-1,-1,1,5382,3996,1965,840.80025,4525186.9455
B200-SXM-192GB,bfloat16,gqa,64,16,128,8,4096,-1,-1,1,5380,3996,1965,849.24825,4568955.585
B200-SXM-192GB,bfloat16,gqa,64,32,128,8,4096,-1,-1,1,5383,3996,1965,851.4095,4583137.3385
B200-SXM-192GB,bfloat16,gqa,64,4,128,8,6144,-1,-1,1,11761,3996,1965,854.4425,10049098.2425
B200-SXM-192GB,bfloat16,gqa,64,8,128,8,6144,-1,-1,1,11761,3996,1965,854.755,10052773.555
B200-SXM-192GB,bfloat16,gqa,64,16,128,8,6144,-1,-1,1,11767,3996,1965,852.02975,10025834.06825
B200-SXM-192GB,bfloat16,gqa,64,32,128,8,6144,-1,-1,1,11764,3996,1965,847.0665,9964890.306
B200-SXM-192GB,bfloat16,gqa,64,4,128,8,8192,-1,-1,1,20608,3996,1965,845.399,17421982.592
B200-SXM-192GB,bfloat16,gqa,64,8,128,8,8192,-1,-1,1,20607,3996,1965,848.42,17483390.939999998
B200-SXM-192GB,bfloat16,gqa,64,16,128,8,8192,-1,-1,1,20616,3996,1965,851.1385,17547071.316
B200-SXM-192GB,bfloat16,gqa,64,32,128,8,8192,-1,-1,1,20599,3996,1965,850.4275,17517956.0725
B200-SXM-192GB,bfloat16,gqa,64,4,128,16,16,-1,-1,1,59,3996,1965,850.019,50151.121
B200-SXM-192GB,bfloat16,gqa,64,8,128,16,16,-1,-1,1,43,3996,1965,836.579,35972.897
B200-SXM-192GB,bfloat16,gqa,64,16,128,16,16,-1,-1,1,42,3996,1965,836.579,35136.318
B200-SXM-192GB,bfloat16,gqa,64,32,128,16,16,-1,-1,1,43,3996,1965,774.262,33293.265999999996
B200-SXM-192GB,bfloat16,gqa,64,4,128,16,32,-1,-1,1,41,3996,1965,774.262,31744.742
B200-SXM-192GB,bfloat16,gqa,64,8,128,16,32,-1,-1,1,42,3996,1965,713.59,29970.780000000002
B200-SXM-192GB,bfloat16,gqa,64,16,128,16,32,-1,-1,1,42,3996,1965,647.903,27211.926
B200-SXM-192GB,bfloat16,gqa,64,32,128,16,32,-1,-1,1,45,3996,1965,647.903,29155.635000000002
B200-SXM-192GB,bfloat16,gqa,64,4,128,16,64,-1,-1,1,46,3996,1965,589.948,27137.608
B200-SXM-192GB,bfloat16,gqa,64,8,128,16,64,-1,-1,1,41,3996,1965,589.948,24187.868
B200-SXM-192GB,bfloat16,gqa,64,16,128,16,64,-1,-1,1,42,3996,1965,525.254,22060.668
B200-SXM-192GB,bfloat16,gqa,64,32,128,16,64,-1,-1,1,44,3996,1965,525.254,23111.176
B200-SXM-192GB,bfloat16,gqa,64,4,128,16,128,-1,-1,1,47,3996,1965,459.6,21601.2
B200-SXM-192GB,bfloat16,gqa,64,8,128,16,128,-1,-1,1,48,3996,1965,459.6,22060.800000000003
B200-SXM-192GB,bfloat16,gqa,64,16,128,16,128,-1,-1,1,46,3996,1965,418.483,19250.218
B200-SXM-192GB,bfloat16,gqa,64,32,128,16,128,-1,-1,1,51,3996,1965,418.483,21342.633
B200-SXM-192GB,bfloat16,gqa,64,4,128,16,256,-1,-1,1,111,3996,1965,358.533,39797.163
B200-SXM-192GB,bfloat16,gqa,64,8,128,16,256,-1,-1,1,115,3996,1965,358.533,41231.295
B200-SXM-192GB,bfloat16,gqa,64,16,128,16,256,-1,-1,1,114,3996,1965,289.47,32999.58
B200-SXM-192GB,bfloat16,gqa,64,32,128,16,256,-1,-1,1,115,3996,1965,256.487,29496.005
B200-SXM-192GB,bfloat16,gqa,64,4,128,16,512,-1,-1,1,277,3996,1965,256.487,71046.899
B200-SXM-192GB,bfloat16,gqa,64,8,128,16,512,-1,-1,1,277,3996,1965,278.063,77023.451
B200-SXM-192GB,bfloat16,gqa,64,16,128,16,512,-1,-1,1,278,3996,1965,278.063,77301.514
B200-SXM-192GB,bfloat16,gqa,64,32,128,16,512,-1,-1,1,277,3996,1965,312.326,86514.30200000001
B200-SXM-192GB,bfloat16,gqa,64,4,128,16,1024,-1,-1,1,829,3996,1965,329.72400000000005,273341.19600000005
B200-SXM-192GB,bfloat16,gqa,64,8,128,16,1024,-1,-1,1,829,3996,1965,369.6275,306421.1975
B200-SXM-192GB,bfloat16,gqa,64,16,128,16,1024,-1,-1,1,829,3996,1965,447.694,371138.326
B200-SXM-192GB,bfloat16,gqa,64,32,128,16,1024,-1,-1,1,830,3996,1965,498.337,413619.70999999996
B200-SXM-192GB,bfloat16,gqa,64,4,128,16,2048,-1,-1,1,2876,3996,1965,581.345,1671948.22
B200-SXM-192GB,bfloat16,gqa,64,8,128,16,2048,-1,-1,1,2877,3996,1965,715.21925,2057685.78225
B200-SXM-192GB,bfloat16,gqa,64,16,128,16,2048,-1,-1,1,2877,3996,1965,787.1935,2264755.6995
B200-SXM-192GB,bfloat16,gqa,64,32,128,16,2048,-1,-1,1,2878,3996,1965,832.2080000000001,2395094.6240000003
B200-SXM-192GB,bfloat16,gqa,64,4,128,16,4096,-1,-1,1,10668,3996,1965,861.0665,9185857.422
B200-SXM-192GB,bfloat16,gqa,64,8,128,16,4096,-1,-1,1,10664,3996,1965,868.67575,9263558.198
B200-SXM-192GB,bfloat16,gqa,64,16,128,16,4096,-1,-1,1,10666,3996,1965,867.2860000000001,9250472.476
B200-SXM-192GB,bfloat16,gqa,64,32,128,16,4096,-1,-1,1,10667,3996,1965,861.9985,9194937.9995
B200-SXM-192GB,bfloat16,gqa,64,4,128,32,16,-1,-1,1,47,3996,1965,869.991,40889.577
B200-SXM-192GB,bfloat16,gqa,64,8,128,32,16,-1,-1,1,48,3996,1965,869.991,41759.568
B200-SXM-192GB,bfloat16,gqa,64,16,128,32,16,-1,-1,1,50,3996,1965,810.212,40510.6
B200-SXM-192GB,bfloat16,gqa,64,32,128,32,16,-1,-1,1,48,3996,1965,810.212,38890.176
B200-SXM-192GB,bfloat16,gqa,64,4,128,32,32,-1,-1,1,47,3996,1965,748.077,35159.619
B200-SXM-192GB,bfloat16,gqa,64,8,128,32,32,-1,-1,1,50,3996,1965,748.077,37403.85
B200-SXM-192GB,bfloat16,gqa,64,16,128,32,32,-1,-1,1,52,3996,1965,692.833,36027.316
B200-SXM-192GB,bfloat16,gqa,64,32,128,32,32,-1,-1,1,49,3996,1965,692.833,33948.816999999995
B200-SXM-192GB,bfloat16,gqa,64,4,128,32,64,-1,-1,1,50,3996,1965,627.364,31368.2
B200-SXM-192GB,bfloat16,gqa,64,8,128,32,64,-1,-1,1,53,3996,1965,627.364,33250.292
B200-SXM-192GB,bfloat16,gqa,64,16,128,32,64,-1,-1,1,49,3996,1965,577.607,28302.743
B200-SXM-192GB,bfloat16,gqa,64,32,128,32,64,-1,-1,1,55,3996,1965,509.027,27996.485
B200-SXM-192GB,bfloat16,gqa,64,4,128,32,128,-1,-1,1,78,3996,1965,509.027,39704.106
B200-SXM-192GB,bfloat16,gqa,64,8,128,32,128,-1,-1,1,79,3996,1965,445.979,35232.341
B200-SXM-192GB,bfloat16,gqa,64,16,128,32,128,-1,-1,1,76,3996,1965,445.979,33894.404
B200-SXM-192GB,bfloat16,gqa,64,32,128,32,128,-1,-1,1,81,3996,1965,410.13,33220.53
