gpu,dtype,variant,num_heads,num_heads_kv,head_size,batch_size,seq_len,window_left,window_right,causal,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,16,-1,-1,1,67,2619,1980,208.243,13952.280999999999
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,16,-1,-1,1,67,2619,1980,204.479,13700.093
H100-SXM-80GB,bfloat16,gqa,64,4,128,2,32,-1,-1,1,61,2619,1980,204.479,12473.219000000001
H100-SXM-80GB,bfloat16,gqa,64,8,128,2,32,-1,-1,1,63,2619,1980,206.093,12983.858999999999
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,32,-1,-1,1,72,2619,1980,206.093,14838.696
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,32,-1,-1,1,65,2619,1980,197.307,12824.955
H100-SXM-80GB,bfloat16,gqa,64,4,128,2,64,-1,-1,1,69,2619,1980,196.352,13548.288
H100-SXM-80GB,bfloat16,gqa,64,8,128,2,64,-1,-1,1,58,2619,1980,196.352,11388.416000000001
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,64,-1,-1,1,66,2619,1980,194.703,12850.398000000001
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,64,-1,-1,1,71,2619,1980,194.703,13823.913
H100-SXM-80GB,bfloat16,gqa,64,4,128,2,128,-1,-1,1,60,2619,1980,194.292,11657.52
H100-SXM-80GB,bfloat16,gqa,64,8,128,2,128,-1,-1,1,64,2619,1980,194.292,12434.688
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,128,-1,-1,1,63,2619,1980,189.324,11927.412
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,128,-1,-1,1,61,2619,1980,189.324,11548.764000000001
H100-SXM-80GB,bfloat16,gqa,64,4,128,2,256,-1,-1,1,66,2619,1980,186.6,12315.6
H100-SXM-80GB,bfloat16,gqa,64,8,128,2,256,-1,-1,1,68,2619,1980,184.423,12540.764
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,256,-1,-1,1,62,2619,1980,184.423,11434.226
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,256,-1,-1,1,61,2619,1980,184.416,11249.376
H100-SXM-80GB,bfloat16,gqa,64,4,128,2,512,-1,-1,1,59,2619,1980,184.416,10880.544
H100-SXM-80GB,bfloat16,gqa,64,8,128,2,512,-1,-1,1,63,2619,1980,190.896,12026.447999999999
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,512,-1,-1,1,66,2619,1980,190.896,12599.135999999999
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,512,-1,-1,1,74,2619,1980,194.05,14359.7
H100-SXM-80GB,bfloat16,gqa,64,4,128,2,1024,-1,-1,1,152,2619,1980,194.05,29495.600000000002
H100-SXM-80GB,bfloat16,gqa,64,8,128,2,1024,-1,-1,1,169,2619,1980,197.118,33312.942
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,1024,-1,-1,1,189,2619,1980,208.079,39326.931000000004
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,1024,-1,-1,1,179,2619,1980,208.079,37246.141
H100-SXM-80GB,bfloat16,gqa,64,4,128,2,2048,-1,-1,1,689,2619,1980,214.932,148088.148
H100-SXM-80GB,bfloat16,gqa,64,8,128,2,2048,-1,-1,1,721,2619,1980,226.964,163641.044
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,2048,-1,-1,1,709,2619,1980,232.706,164988.554
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,2048,-1,-1,1,694,2619,1980,240.15,166664.1
H100-SXM-80GB,bfloat16,gqa,64,4,128,2,4096,-1,-1,1,2871,2619,1980,257.6596666666666,739740.9029999999
H100-SXM-80GB,bfloat16,gqa,64,8,128,2,4096,-1,-1,1,3094,2619,1980,266.1644,823512.6536
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,4096,-1,-1,1,3638,2619,1980,260.4456666666667,947501.3353333334
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,4096,-1,-1,1,3834,2619,1980,249.01387499999998,954719.1967499999
H100-SXM-80GB,bfloat16,gqa,64,4,128,2,6144,-1,-1,1,8804,2619,1980,233.11066666666667,2052306.3093333335
H100-SXM-80GB,bfloat16,gqa,64,8,128,2,6144,-1,-1,1,8915,2619,1980,225.04975000000002,2006318.5212500002
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,6144,-1,-1,1,9208,2619,1980,220.8292,2033395.2736
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,6144,-1,-1,1,9166,2619,1980,215.3324,1973736.7784
H100-SXM-80GB,bfloat16,gqa,64,4,128,2,8192,-1,-1,1,15839,2619,1980,213.711,3384968.529
H100-SXM-80GB,bfloat16,gqa,64,8,128,2,8192,-1,-1,1,16143,2619,1980,211.71875,3417775.78125
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,8192,-1,-1,1,15878,2619,1980,210.08925,3335797.1115
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,8192,-1,-1,1,16625,2619,1980,210.547,3500343.875
H100-SXM-80GB,bfloat16,gqa,64,4,128,2,12288,-1,-1,1,34803,2619,1980,210.9795,7342719.5385
H100-SXM-80GB,bfloat16,gqa,64,8,128,2,12288,-1,-1,1,35109,2619,1980,213.53300000000002,7496930.097000001
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,12288,-1,-1,1,35480,2619,1980,212.10649999999998,7525538.619999999
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,12288,-1,-1,1,35376,2619,1980,212.798,7527942.048
H100-SXM-80GB,bfloat16,gqa,64,4,128,2,16384,-1,-1,1,62219,2619,1980,213.529,13285560.851
H100-SXM-80GB,bfloat16,gqa,64,8,128,2,16384,-1,-1,1,44188,2619,1980,251.0498,11093388.5624
H100-SXM-80GB,bfloat16,gqa,64,16,128,2,16384,-1,-1,1,66706,2619,1980,295.02385714285714,19679861.414571427
H100-SXM-80GB,bfloat16,gqa,64,32,128,2,16384,-1,-1,1,97855,2619,1980,200.7928,19648579.444
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,16,-1,-1,1,59,2619,1980,184.732,10899.188
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,16,-1,-1,1,64,2619,1980,184.732,11822.848
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,16,-1,-1,1,59,2619,1980,175.851,10375.209
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,16,-1,-1,1,67,2619,1980,173.697,11637.699
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,32,-1,-1,1,57,2619,1980,173.697,9900.729
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,32,-1,-1,1,61,2619,1980,174.288,10631.568000000001
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,32,-1,-1,1,60,2619,1980,174.288,10457.28
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,32,-1,-1,1,59,2619,1980,174.847,10315.973
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,64,-1,-1,1,62,2619,1980,174.847,10840.514000000001
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,64,-1,-1,1,63,2619,1980,175.272,11042.135999999999
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,64,-1,-1,1,63,2619,1980,175.272,11042.135999999999
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,64,-1,-1,1,60,2619,1980,175.96,10557.6
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,128,-1,-1,1,61,2619,1980,175.96,10733.560000000001
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,128,-1,-1,1,63,2619,1980,176.594,11125.422
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,128,-1,-1,1,61,2619,1980,177.997,10857.817000000001
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,128,-1,-1,1,59,2619,1980,177.997,10501.823
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,256,-1,-1,1,61,2619,1980,179.389,10942.729000000001
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,256,-1,-1,1,61,2619,1980,179.389,10942.729000000001
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,256,-1,-1,1,59,2619,1980,182.035,10740.065
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,256,-1,-1,1,63,2619,1980,182.035,11468.205
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,512,-1,-1,1,97,2619,1980,188.564,18290.708
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,512,-1,-1,1,108,2619,1980,190.72,20597.76
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,512,-1,-1,1,103,2619,1980,190.72,19644.16
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,512,-1,-1,1,109,2619,1980,193.543,21096.187
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,1024,-1,-1,1,311,2619,1980,193.543,60191.873
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,1024,-1,-1,1,492,2619,1980,203.637,100189.404
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,1024,-1,-1,1,568,2619,1980,206.0985,117063.948
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,1024,-1,-1,1,390,2619,1980,208.56,81338.4
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,2048,-1,-1,1,1927,2619,1980,214.25425,412867.93975
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,2048,-1,-1,1,1888,2619,1980,222.31824999999998,419736.85599999997
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,2048,-1,-1,1,1861,2619,1980,227.95425,424222.85925
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,2048,-1,-1,1,1922,2619,1980,232.6055,447067.771
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,4096,-1,-1,1,7358,2619,1980,231.081,1700293.998
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,4096,-1,-1,1,7152,2619,1980,230.75733333333335,1650376.448
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,4096,-1,-1,1,5273,2619,1980,235.6674,1242674.2001999998
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,4096,-1,-1,1,5034,2619,1980,258.04,1298973.36
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,6144,-1,-1,1,11937,2619,1980,284.4656,3395665.8671999997
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,6144,-1,-1,1,14672,2619,1980,299.627,4396127.3440000005
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,6144,-1,-1,1,16382,2619,1980,286.70875,4696862.7425
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,6144,-1,-1,1,33054,2619,1980,258.34025,8539178.6235
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,8192,-1,-1,1,58356,2619,1980,193.67233333333334,11301942.684
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,8192,-1,-1,1,47654,2619,1980,164.8492,7855723.7768
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,8192,-1,-1,1,40393,2619,1980,172.45299999999997,6965894.028999999
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,8192,-1,-1,1,36813,2619,1980,183.69650000000001,6762419.254500001
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,12288,-1,-1,1,72086,2619,1980,203.15125,14644361.0075
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,12288,-1,-1,1,52716,2619,1980,285.88,15070450.08
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,12288,-1,-1,1,68299,2619,1980,319.52714285714285,21823384.33
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,12288,-1,-1,1,95664,2619,1980,229.7063,21974623.4832
H100-SXM-80GB,bfloat16,gqa,64,4,128,4,16384,-1,-1,1,146290,2619,1980,197.58453333333333,28904641.381333333
H100-SXM-80GB,bfloat16,gqa,64,8,128,4,16384,-1,-1,1,91150,2619,1980,274.0156,24976521.94
H100-SXM-80GB,bfloat16,gqa,64,16,128,4,16384,-1,-1,1,155145,2619,1980,191.6616875,29735352.5071875
H100-SXM-80GB,bfloat16,gqa,64,32,128,4,16384,-1,-1,1,123378,2619,1980,213.9956923076923,26402360.525538463
H100-SXM-80GB,bfloat16,gqa,64,4,128,8,16,-1,-1,1,57,2619,1980,219.166,12492.462
H100-SXM-80GB,bfloat16,gqa,64,8,128,8,16,-1,-1,1,62,2619,1980,215.842,13382.204000000002
H100-SXM-80GB,bfloat16,gqa,64,16,128,8,16,-1,-1,1,56,2619,1980,210.255,11774.279999999999
H100-SXM-80GB,bfloat16,gqa,64,32,128,8,16,-1,-1,1,60,2619,1980,210.255,12615.3
H100-SXM-80GB,bfloat16,gqa,64,4,128,8,32,-1,-1,1,58,2619,1980,207.892,12057.735999999999
H100-SXM-80GB,bfloat16,gqa,64,8,128,8,32,-1,-1,1,59,2619,1980,207.892,12265.628
H100-SXM-80GB,bfloat16,gqa,64,16,128,8,32,-1,-1,1,63,2619,1980,204.741,12898.683
